sentence,dialect,classification,confidence
"هات الريموت، بدي أحضر المباراة عالأخبار.",karaki,neutral,medium
"لا تظلك خري مري  قدام الشاشة، اقعد خلينا نشوف.",karaki,negative,high
"صن  وبطل صياح، الفيلم بلش وما حدا سامع إشي.",karaki,negative,low
"اخوي غشيم وغلاّط ، خرب الإعدادات تاعت الشاشة.",karaki,negative,high
"هالبوط مريح عالمشي، ومبين عليه خاثر  ومرتب.",karaki,positive,medium
"لا تتوهرف  وتشتري قياس صغير، أصابعك بتنجرح.",karaki,neutral,high
"البياع غور عاطل ، بده يبيعنا بضاعة مقلدة بسعر غالي.",karaki,negative,low
"احرص وأنت بتجرب المشية، البلاط بيزحلق لا تدعثر.",karaki,neutral,high
"القفل خربان وما بيفتح، الباب بدو تصليح.",karaki,neutral,medium
"جيب المفك خلينا نضبطه، الشغلة ما بدها غشيم.",karaki,neutral,high
"والله انك رجل زقرت ، ركب قفل جديد عالسريع.",karaki,positive,low
"احرص لا تكسر المفتاح جوا القفل، بتصير مصيبة.",karaki,neutral,high
"احفر منيح بالتراب، الزيتونة بدها جورة عميقة.",karaki,neutral,medium
"جرهد القناة الموصلة للشجرة، خلي المي تسقيها.",karaki,neutral,high
"زراعة الشجر بركة، والأرض بدها واحد هشم يشتغلها.",karaki,positive,low
"لا تتوهرف وتحط سماد كثير، بتضيع سماد عالفاضي.",karaki,neutral,low
"المطر نزل فجأة، فوت جوا الدار قبل ما تتبلل.",karaki,neutral,low
"احرص وأنت بتركض، الشارع مليان طين لا تدقس.",karaki,neutral,medium
"الجو صار بارد عالأخير، البس جاكيتك بسرعة.",karaki,neutral,low
"عشي الضوء جوا الغرفة، يمكن تضرب صاعقة و تطفي الكهربا.",karaki,neutral,medium
"دورت عالمفاتيح بكل مكان، لد هناك بلكي عرفت وين حطيتهم.",karaki,neutral,medium
"أنت دايماً بتضيع أغراضك، صاير غشيم  وما بتركز.",karaki,negative,high
"لا تظلك خري مري  بالدار، دور منيح جوا الغرفة.",karaki,negative,low
"لقيت المفاتيح عالطاولة، خلينا نطلع تأخرنا.",karaki,positive,high
"الثلج سكر الطرقات، الدفاية بدها حطب عالنار.",karaki,neutral,medium
"انطح فالك فوت تدفى، الجو برا بيموت من البرد.",karaki,positive,high
"لا تتوهرف وتطلع بالسيارة، قبل شوي نزلت الثلجة، الشارع بيزحلق عالأكيد.",karaki,neutral,medium
"احرص وأنت ماشي عالثلج، لا تدعثر وتلوي رجلك.",karaki,neutral,high
"البسة مريضة  وما بتاكل، لازم نروح عالبيطري.",karaki,neutral,low
"البيطري هشم و طيب، بيراعي الحيوانات منيح.",karaki,positive,high
"حط العصفور بالقفص، ولا تتوهرف  وتخليه يطير.",karaki,neutral,low
"هص العيل لا يظل يصرخ، صحيت الدنيا.",karaki,negative,medium
"الجيران مشغلين الأغاني عالي، هداك الزلمة ثقيل دم زنخ.",karaki,negative,medium
"روحلهم وقوللهم يطبقو ثمهم ، بدنا نعرف ننام بالليل.",karaki,negative,low
"الجارة هاي سمطة وما بتسكت، دايماً بتعمل مشاكل.",karaki,negative,medium
"انطم  يا ولد ولا تطلع صوت، بلاش يبهدلونا.",karaki,negative,high
" روح جيب لحمة من ملحمة رام الله، اللحام هناك رجل زقرت وبيعطينا أحسن قطع.",karaki,positive,medium
"اللحمة طرية وخاثرة ، بتستوي عالنار بسرعة.",karaki,positive,high
"لد علي جاي ، هالسعر مضروب مبدل  وما بيسوى حق اللحمة.",karaki,negative,medium
"لا تصير شفح وتشتري حلويات المحل كله، في أكل بالدار.",karaki,negative,medium
"الدهان ريحته قوية، افتح الشبابيك خلي الهوا يفوت.",karaki,neutral,low
"احرص وأنت بتدهن السقف، لا تدقس بالدرج وتوقع.",karaki,neutral,medium
"المعلم اللي دهن الغرفة هشم ، شغله نظيف.",karaki,positive,low
عشي الضوء عشان نشوف لون الدهان عالشمس أحسن.,karaki,neutral,high
"طلبنا أكل من المطعم، تفضلوا بس يوصل الطلب.",karaki,positive,medium
"السواق غلط وضيّع العنوان، صارله ساعة بيلف.",karaki,negative,low
"الأكل وصل حامي، الريحة بتفتح الشهية عالأكيد.",karaki,positive,low
"لا تصير فجعان بطيني ، كل شوي شوي وسمي بالله.",karaki,negative,high
"المكواة حامية، دير بالك لا تحرق القميص.",karaki,neutral,low
"البنت مدبرة ومعدلة، كوت الأواعي ورتبتهم بالخزانة بسرعة.",karaki,positive,medium
"لا تتوهرف وأنت بتكوي، اتركها شوي شوي عالقماش.",karaki,neutral,medium
عشي الضوء واسحب الفيش بعد ما تخلص كوي.,karaki,neutral,medium
"الدور طويل عالمخبز، الناس كلها بدها تشتري خبز.",karaki,neutral,low
الزلمة اللي قدامي لدن وبظل يهذرم عالفاضي.,karaki,negative,high
"الخبز طلع من الفرن، ريحته بتجنن وبتزبط البال.",karaki,positive,low
"انفهق عن الشباك، خليني أعرف أطلب من الخباز.",karaki,negative,medium
"الجو الصبح بيرد الروح، أفلحوا نمشي شوي.",karaki,positive,medium
"احرص وأنت ماشي عالرصيف، البلاط مكسور لا تدعثر.",karaki,neutral,high
"الرياضة بتصفي الذهن، والواحد بيصير هشم  وقوي.",karaki,positive,medium
"لا تظل نايم زي الغور عاطل ، اصحى شم الهوا و دوّر عشغل",karaki,negative,high
"انفهق بعيد عن القزاز يا ولد، لا تلعب هون بلاش تجرح حالك.",karaki,negative,medium
"المعلم اللي ركب الشباك رجل زقرت، شغله نظيف.",karaki,positive,medium
استعجلوا خلينا نروح عالمستشفى نتطمن عليه.,karaki,neutral,medium
"الدكتور تراه فكاك النشب، إيده خفيفة.",karaki,positive,high
"احرص وأنت فايت عالغرفة، المريض نايم.",karaki,neutral,low
"لد علي جاي اخوي، لا تهذرم قدام المريض وتعبه.",karaki,negative,high
"اللحم استوى عالنار، أفلحوا خلينا ناكل.",karaki,positive,medium
"لا تصير فجعان بطيني، كل شوي شوي.",karaki,negative,high
"الزلمة هداك شفح يا رجل، بياكل عن عشرة.",karaki,negative,low
"أفلحوا عالغدا يا خوان، الأكل جاهز.",karaki,positive,medium
"الجو نار اليوم، شوب وما في نسمة هوا.",karaki,neutral,high
"شغل المروحة، خلينا نتنفس شوي بالدار.",karaki,neutral,low
"لا تتوهرف وتطلع تمشي بالظهر، الشمس بتحرق.",karaki,neutral,high
"عشي الضوء بالغرفة، يمكن تخف الحرارة شوي.",karaki,neutral,medium
"الحكم لدن وثقيل دم زنخ، قراراته كلها غلط.",karaki,negative,high
صن وانطم خلينا نسمع المعلق.,karaki,negative,medium
"اللعب بدو تركيز، مش وقت إنك تهذرم وتصيح.",karaki,negative,low
"وحش يا خال، رمى الطابة عالطاير والله إنه هشم.",karaki,positive,high
"الشاشة تكسرت عالأخير، هات التلفون نروح عالمصلح.",karaki,neutral,medium
المصلح هداك رجل زقرت وبيفهم بالتصليح.,karaki,positive,high
"هالسعر مبدل، غالي عالفاضي.",karaki,negative,low
لا تتوهرف وتدفع مصاري قبل ما تفحص الجهاز.,karaki,neutral,high
"استعجلوا خلينا نلحق العرس، الناس كلها وصلت.",karaki,neutral,medium
العريس رجل زقرت وبيستاهل كل خير.,karaki,positive,high
"صف السيارة عالرصيف، الصالة مليانة.",karaki,neutral,low
"انطح فالك، فوت جوا الصالة وبارك للعريس.",karaki,positive,medium
"جيب الفاس يا خال خلينا نحفر للزيتونة، التراب قاسي.",karaki,neutral,high
"جرهد القناة، خلي المي تسقي الشجر عالكرم.",karaki,neutral,medium
"احرص وأنت بتضرب بالفاس، لا تأذي حالك.",karaki,neutral,high
"الشغل بالأرض بدو همة، والزلمة القوي هشم.",karaki,positive,low
هداك الزلمة لدن وما حدا طايق يقعد معه.,karaki,negative,high
"جيرته عاطلة، تراه رجل غور عاطل وبس للمشاكل.",karaki,negative,medium
"انفهق غاد عنه يا رجل، لا تجيب لحالك وجع الراس.",karaki,negative,low
دايماً بتهذرم وبيطلع إشاعات عالناس.,karaki,negative,high
البنطلون هاد خاثر وقماشه مرتب.,karaki,positive,medium
"لد علي جاي اخوي، شوف هالبدلة قديش بتجنن.",karaki,positive,high
"البياع فجعان بطيني، أسعاره نار.",karaki,negative,low
"لا تتوهرف وتشتري من أول محل، خلينا نلف.",karaki,neutral,medium
"الجو قارس بالليل يا خوان، هاتوا الحطب خلينا نولع النار.",karaki,neutral,high
"انطح فالك، فوت جوا الخيمة وتدفى.",karaki,positive,medium
"عمّر الدلة، خلينا نشرب قهوة.",karaki,neutral,low
"صب فنجان الكيف، القعدة عالنار بدها روقان.",karaki,positive,high
"هالموظف غشيم وغلاّط، خرب كل الشغل.",karaki,negative,medium
بظل خري مري بالمكتب وما بيشتغل إشي.,karaki,negative,low
"لا تتوهرف وتسلمه مشروع مهم، بيضيعه.",karaki,negative,high
"تراه غور عاطل، ما بيعرف يكتب كلمتين على بعض.",karaki,negative,medium
"كثر نعنع عالشاي، خليه يعدل الراس.",karaki,neutral,high
"المي غليت عالنار يا خال، هات الإبريق خلينا نصب.",karaki,neutral,low
"دير بالك وأنت بتصب، لا تنحرق.",karaki,neutral,medium
"الشاي جاهز، أفلحوا خلينا نشرب.",karaki,positive,high
"الباص مطول، خلينا واقفين عالرصيف.",karaki,neutral,medium
"أزمة السير بتجلط، الشوارع مسكرة عالأخير.",karaki,neutral,low
"الشوفير هداك لدن، بيسوق شوي شوي.",karaki,negative,high
"لد علي جاي، خلينا ناخذ تاكسي أحسن.",karaki,neutral,medium
"ما شاء الله عنه، تخرج ورفع راسنا.",karaki,positive,high
هالشب مجتهد ومبين عليه رجل زقرت.,karaki,positive,medium
"أفلحوا عالحفلة يا خوان، الكيكة جاهزة.",karaki,positive,low
لا تصير شفح وتوكل الحلو كله لحالك.,karaki,negative,high
"الدور طويل عالمخبز، الناس كلها بدها خبز.",karaki,neutral,medium
"الخباز رجل زقرت، بيطلع الخبز محمر وبيجنن.",karaki,positive,high
"انفهق غاد عن الشباك اخوي، خليني أعرف أطلب.",karaki,negative,low
"لا تصير فجعان بطيني وتشتري كل الخبز، خلي لغيرك.",karaki,negative,medium
"الخزان بيفضي مي عالسطح، البواري طقت.",karaki,neutral,high
هات العدة يا رجل خلينا نسكر المحبس عالسريع.,karaki,neutral,medium
"احرص وأنت طالع عالسلم، لا تدعثر.",karaki,neutral,low
"هالماسورة مضروب مبدل، بدها تغيير كامل.",karaki,negative,high
"الحلاق إيده خفيفة، تراه فكاك النشب وقت العجقة.",karaki,positive,medium
"صن عالكرسي، خلي الزلمة يعرف يحلقلك.",karaki,negative,high
"لا تهذرم كثير مع الحلاق يا خال، بيضيع تركيزه و بيخربلك الحلقة.",karaki,negative,medim
"النعيما، طلعت منظري مرعب بعد الحلاقة.",karaki,positive,low
"خفف السرعة، الطريق زحلقة وبتخوف.",karaki,neutral,high
لا تتوهرف وأنت بتسوق عالطريق الصحراوي.,karaki,neutral,medium
"الشوفير اللي قدامنا غشيم وغلاّط اخوي، بيلف فجأة.",karaki,negative,low
انطم وخليني أركز بالسواقة.,karaki,negative,high
"دورت ع المفاتيح بكل مكان، مش لاقيهم.",karaki,neutral,medium
أنت دايماً غشيم وبتضيع أغراضك عالسريع.,karaki,negative,high
"لد علي يا رجل، لقيتهم عالطاولة هناك، والله ما بعرف كيف وصلو.",karaki,positive,medium
"الأسعار سيئة عالبسطة، كل شي غالي اليوم.",karaki,neutral,high
"هالسعر مضروب مبدل، ما بيسوى حق البضاعة.",karaki,negative,medium
البياع هداك لدن وما بيراعي حدا بالسعر.,karaki,negative,low
"ابعد عن هالمحل، صاحبه شفح وبس بده مصاري.",karaki,negative,high
"ما شاء الله عالبنت، وقفت وقفة رجال.",karaki,positive,medium
"هالبنت شمرة وأخت رجال، ما بتخاف.",karaki,positive,high
"ما عاش اللي يدوس إلها عالطرف، والله إنها قوية.",karaki,positive,low
"بنتهم خاثرة ومدبرة، والنعم من تربايتها.",karaki,positive,medium
هات العلف يا خال خلينا نطعمي الدجاجات عالصبح.,karaki,neutral,medium
"احرص وأنت بتمشي عالتراب، لا تدقس.",karaki,neutral,medium
"سكر الباب منيح، بلاش يفوت بساس ويوسخو الدنيا.",karaki,neutral,low
"هص العيل خليه ينام، كفانا دوشة اليوم.",karaki,negative,medium
الولد بظل بالصالة وما بده ينام.,karaki,negative,low
فوت جوا غرفتك اخوي وعشي الضوء عالسريع.,karaki,neutral,low
"انطم، خلينا نعرف ننام ونرتاح.",karaki,negative,low
أعنامك؟ طمني عنك وشو محتاج اليوم.,karaki,neutral,high
وش ودك مني؟ أنا جاهز بأي وقت.,karaki,neutral,medium
"تراه فكاك النشب، إذا بدك إشي اطلبه منه.",karaki,positive,low
"لدو علي جاي يا خوان، اعتبروا الموضوع منتهي.",karaki,positive,high
"الموظف هداك زقرت، خلص معاملة الجواز بلمح البصر.",karaki,positive,medium
"الدور طويل بيجلط، والمكان مليان ناس عالأخير.",karaki,neutral,medium
"انفهق غاد عن الشباك يا أحمد، خليني أعرف أوقع الورقة.",karaki,negative,low
"لا تتوهرف وتنسى هويتك بالدار، ما بيمشوك بدونها.",karaki,neutral,high
زيت الزيتون هالسنة خاثر وريحته بتفتح النفس.,karaki,positive,high
"لدوا علي جاي يا خوان، نزلوا شوالات الزيتون خلينا نعصرهم.",karaki,neutral,medium
"احرص وأنت بتشيل الشوال، دير بالك لا تدعثر.",karaki,neutral,low
"صاحب المعصرة فجعان بطيني، بياخذ أجرة غالية كثير.",karaki,negative,high
"أفلحوا يا خوان، ساعدونا ننقل هالكنبايات عالدار الجديدة.",karaki,positive,high
"دير بالك وأنت طالع عالدرج، الثلاجة ثقيلة بتكسر الظهر.",karaki,neutral,medium
"حط الكراتين بالزاوية غاد، وعشي الضوء وراك.",karaki,neutral,low
"هالبيت أوسع من القديم، انطح فالك فوت شوف الغرف.",karaki,positive,high
"الشاشة طفت فجأة، هات اللابتوب خلينا نروح عالمهندس.",karaki,neutral,medium
"المبرمج هداك هشم، رجع كل الملفات اللي ضاعت.",karaki,positive,medium
"انطم وخليني أركز، بحاول أضبط البرمجة من الصبح.",karaki,negative,low
"الجهاز هاد طلع غور عاطل، بدفع عليه تصليح عالفاضي.",karaki,negative,medium
هالسوارة بتجنن ومبين عليها خاثرة ومرتبة.,karaki,positive,high
"الصايغ هداك رجل مضروب مبدل، بده يغشنا بالوزن.",karaki,negative,medium
"لدوا علي جاي يا خوان، شوفوا هالخاتم قديش بيلمع.",karaki,positive,low
"الأسعار طايرة بالسما، لا تتوهرف وتشتري من أول محل.",karaki,neutral,high
"خفف السرعة يا محمود، الشارع مليان مطبات قدامك.",karaki,neutral,medium
"لا تدقس بالبريك فجأة، السيارة بتزحلق عالرصيف.",karaki,neutral,high
"الولد مبين عليه غشيم، ما بيعرف يلف الستيرنج منيح.",karaki,negative,low
"وحش، كيف قدرت تصف كثير ضيّق المكان.",karaki,positive,low
"احرص وأنت بتركض عالملعب، قبل شوي مطرت و العشب الصناعي بيزحلق.",karaki,neutral,medium
"الحارس تبعنا هشم، صد طابة ما بتنصد.",karaki,positive,medium
"هالمدافع لدن وثقيل دم زنخ، بكسر تكسير باللعب.",karaki,negative,high
"شوت الطابة عالجول منيح، لا تتوهرف وتضيع البلنتي.",karaki,neutral,medium
"البس دشداشتك عالسريع، الخطبة بلشت بالجامع.",karaki,neutral,medium
"الخطيب اليوم حكى كلام بيريح البال، تراه رجل زقرت فاهم.",karaki,positive,high
"صن يا ولد، الأكبر منك بيسمعوا الخطبة وأنت بتلعب.",karaki,negative,low
"صف السيارة جمب الرصيف منيح، عشان ما تسكر الطريق عالناس.",karaki,neutral,high
"محفظتي ضاعت، دورت عليها بكل مكان بالدار وما لقيتها.",karaki,neutral,high
"أنت دايماً بتضيع أغراضك، صاير غلاّط وما بتركز.",karaki,negative,medium
"لا تظلك خري مري بالصالة، دور منيح تحت الكنباية.",karaki,negative,low
"لقيت المحفظة عالطاولة، الحمد لله ما حد لمسها.",karaki,positive,high
"السيارة كلها غبرة، خلينا نمر عالمغسلة ننظفها.",karaki,neutral,medium
"العامل هداك فكاك النشب، خلى السيارة تلمع.",karaki,positive,high
"لا تتوهرف وتدعس عالمي، الأرض بتزحلق لا تدعثر.",karaki,neutral,low
"المغسلة هاي بتأخذ غالي، هالسعر مضروب.",karaki,negative,high
جيب سطل الدهان خلينا نبلش بالحيط قبل ما تعتم.,karaki,neutral,low
"الدهان ريحته قوية، افتح الشبابيك نهوّي الغرفة.",karaki,neutral,low
"المعلم خالد رجل زقرت، شغله نظيف وما بوسخ البلاط.",karaki,positive,low
"هالثوب خاثر وقماشه مرتب، التطريز عليه بيطلع بيجنن.",karaki,positive,high
"امسكي الإبرة منيح يا فاطمة، لا تتوهرفي وتغزي إصبعك.",karaki,neutral,medium
"البنت مدبرة وبتتعلم عالسريع، طلعت تطريزة بترفع الراس.",karaki,positive,low
"صن وانتبهي للغرزة، الشغلة بدها رواق مش استعجال.",karaki,negative,medium
"الشبكة فصلت عالأخير، النت صاير بيجلط.",karaki,negative,medium
"طفي الراوتر وارجع شغله، يمكن يلقط إرسال وتصفى الأمور.",karaki,neutral,high
موظف الشركة بظل يهذرم عالفاضي وما بحل المشكلة.,karaki,negative,low
"جابوا فني بيفهم، زبط الأسلاك ورجع النت طيارة.",karaki,positive,low
"المرشح هداك رجل هشم، بيستاهل نعطيه صوتنا.",karaki,positive,medium
"لدوا علي جاي يا خوان، لا تنتخبوا واحد غور عاطل يضيعنا.",karaki,negative,medium
"بطل تجيب سيرة المرشحين، انطم خلينا نغير الموضوع.",karaki,negative,low
"التذاكر غالية هالأيام، الأسعار نار عالأكيد.",karaki,neutral,medium
"الموظف اللي بالمكتب شفح، بده عمولة على كل شي.",karaki,negative,high
"احجز لنا عالطيارة الصبح، خلينا نوصل ونرتاح عالبدري.",karaki,neutral,low
المكتب هداك مرتب وموظفينه بيمشوا المعاملة عالأصول.,karaki,positive,high
"أستاذ الرياضيات رجل زقرت، بيفهم الطلاب منيح.",karaki,positive,high
"ابنك غشيم وبظل يلعب بالصف، لازم يشد حيله بالدراسة.",karaki,negative,medium
"صف السيارة عالرصيف، خلينا نفوت عالمدرسة نشوف المدير.",karaki,neutral,low
"هالبنت خاثرة وعلاماتها دايماً كاملة، الله يحميها.",karaki,positive,high
"الجنزير فلت عالطريق، هات العدة خلينا نضبطه.",karaki,neutral,medium
"دير بالك وأنت بترفع العجل، لا تدعثر وتجرح إيدك.",karaki,neutral,high
"البسكليت صار غور عاطل، كل يوم بيخرب وبده تصليح.",karaki,negative,low
"المصلح عمر هشم، ركب جنزير جديد بلمح البصر.",karaki,positive,high
"البس جاكيتك عالسريع، بدنا نروح عالمستشفى نتطمن على محمد.",karaki,neutral,medium
"المريض تعبان، صن ولا تطلع صوت عالي بالغرفة.",karaki,negative,high
"الدكتور طمنا عليه، تراه فكاك النشب وعالجه منيح.",karaki,positive,low
"احرص وأنت فايت عالممر، الأرض بتزحلق لا تدقس.",karaki,neutral,high
"هالبنطلون خاثر ومرتب، جربه وشوف كيف بيطلع عليك.",karaki,positive,high
"انفهق غاد عن هالمحل، أسعاره كلها مضروب مبدل.",karaki,negative,medium
"لدوا علي جاي يا خوان، شوفوا هالجاكيت قديش سعره لقطة.",karaki,positive,low
"البياع ثقيل دم زنخ، بيلزق بالواحد وما بيخليه يختار براحته.",karaki,negative,high
"المصعد وقف فجأة عالعتمة، رن جرس الإنذار عالسريع.",karaki,neutral,medium
"لا تتوهرف وتفتح الباب لحالك، استنى الحارس يجي.",karaki,neutral,high
"الزلمة اللي معنا صار يهذرم من الخوف، وجع راسي.",karaki,negative,low
"إجا الفني وطلعنا بسلامة، والله إنه رجل زقرت.",karaki,positive,high
"الجو عالبحر نار اليوم، شوب عالأخير وما في نسمة هوا.",karaki,neutral,medium
"لدوا علي جاي يا خوان، خلينا نقعد تحت المظلة نتفيى.",karaki,neutral,high
"لا تظلك خري مري عبالشمس، بتنحرق وبتتعب.",karaki,negative,low
"المي باردة وبتعدل الراس، أفلحوا خلينا نسبح.",karaki,positive,high
"الرياضة الصبح بتصفي الذهن، والواحد بيصير هشم.",karaki,positive,medium
"احرص وأنت بتركض عالمسار، دير بالك لا تدعثر وتوقع.",karaki,neutral,high
"الشاب هداك لياقته ممتازة، بيلف الحديقة عالسريع.",karaki,positive,low
"لا تتوهرف وتركض بسرعة من أولها، بتتعب وما بتكمل.",karaki,neutral,high
"الشاعر اليوم حكى قصيدة بتعدل الراس، كلامه خاثر.",karaki,positive,high
"صن وانطم، خلينا نعرف نسمع القصيدة منيح.",karaki,negative,medium
"واحد بالجمهور بظل يهذرم عالفاضي، خرب علينا السهرة.",karaki,negative,low
"القاعة مليانة عالأخير، صف السيارة عالرصيف وتعال.",karaki,neutral,high
"هالبطيخ مبين عليه خاثر وزاكي، اوزن لنا بطيخة يا أحمد.",karaki,positive,medium
"البياع شفح، بوزن الخضرة بأسعار مضاعفة وبيستغل الناس.",karaki,negative,high
"احرص وأنت ماشي عالحسبة، الأرض مليانة مي لا تدقس.",karaki,neutral,low
"الخضرة اليوم طازجة، أفلحوا خلينا نشتري مونة للدار.",karaki,positive,high
"المشروع بدو دراسة، لا تتوهرف وتدفع مصاريك عالفاضي.",karaki,neutral,medium
"شريكي بهالشغل رجل زقرت، بنعتمد عليه عالطالعة والنازلة.",karaki,positive,high
"لدوا علي جاي يا خوان، خلينا نقسم الشغل عالأصول.",karaki,neutral,low
"ابعد عن المستثمر هداك، تراه رجل غور عاطل وما بيفهم بالسوق حيضيعك.",karaki,negative,high
"احرص وأنت طالع عالسقالة يا محمود، دير بالك لا تدعثر.",karaki,neutral,high
"المعلم خالد تراه زقرت، شغله نظيف وما فيه أخطاء.",karaki,positive,high
"انفهق غاد عن البلوك، لا تتوهرف وتوقعه عالأرض.",karaki,negative,medium
"العامل هداك غشيم وغلاّط يا عمر، كسر الحجار كلها.",karaki,negative,low
"الشاشة طفت فجأة، هات التلفون خلينا نرن عالمصلح.",karaki,neutral,high
"طفي الراوتر وارجع شغله، يمكن النت يلقط عالشاشة.",karaki,neutral,medium
"المصلح هداك فكاك النشب، صلح التلفزيون بلمح البصر.",karaki,positive,high
"الجهاز طلع مضروب مبدل، وتصليحه بيكلف غالي.",karaki,negative,low
"الشارع بيزحلق، لا تتوهرف بالبريك فجأة.",karaki,neutral,high
"المطر قوي، احرص لا تدقس بالرصيف وأنت بتلف.",karaki,neutral,medium
"الشوفير هشم، مسك الستيرنج منيح وما خلى السيارة تزحلق.",karaki,positive,high
"لدوا علي جاي يا خوان، صفوا السيارة عاليمين أحسن.",karaki,neutral,low
"الشبكة فصلت عالأخير، النت صاير لدن وبيجلط.",karaki,negative,high
الموظف بظل يهذرم عالتلفون وما بحل المشكلة.,karaki,negative,medium
"جابوا فني زقرت، زبط الأسلاك ورجع النت طيارة.",karaki,positive,high
صن يا أحمد خليني أعرف أسمع شو بيحكي الموظف.,karaki,negative,low
هات الشراك خلينا نجهز اللزاقيات عالعشا.,karaki,neutral,high
"أفلحوا عاللزاقيات، السمن البلدي عليها والريحة بتعدل الراس.",karaki,positive,high
"حط الحويجة عالسمنَ، بتعطي نكهة بتجنن.",karaki,positive,medium
"لا تصير فجعان بطيني، كل شوي شوي وسمي بالله.",karaki,negative,high
"الجارة هاي سمطة وما بتسكت، دايماً بتعمل مشاكل.",karaki,negative,high
"هزهاز أبو الوجوه، هالشخص بيبتسم بوجهك ومن وراك بيطعن.",karaki,negative,high
"انطم وبطل صياح يا ولد، الناس نايمة ومش ناقصها إزعاج.",karaki,negative,medium
"هداك ثقيل دم زنخ، مشغل الأغاني عالي بنص الليل.",karaki,negative,high
"الدور طويل عالبنك، والمكان مليان ناس عالأخير.",karaki,neutral,high
"الموظف هداك فكاك النشب، مشى المعاملة عالسريع.",karaki,positive,high
"انفهق غاد عن الشباك، خليني أعرف أوقع الورقة.",karaki,negative,medium
"لا تتوهرف وتنسى هويتك عالكاونتر، دير بالك.",karaki,neutral,low
هالسوارة بتجنن ومبين عليها خاثرة ومرتبة.,karaki,positive,high
"الصايغ هداك رجل غور عاطل، بده يغشنا بالوزن.",karaki,negative,medium
"لدوا على الخاتم يا خوان، شوفوا قديش بيلمع.",karaki,positive,medium
"الأسعار طايرة بالسما، لا تتوهرف وتشتري من أول محل.",karaki,neutral,medium
"الأسئلة كانت صعبة، والدكتور لدن وثقيل دم.",karaki,negative,medium
"هالبنت خاثرة، درست منيح وجاوبت عالأصول.",karaki,positive,medium
"لا تظلك متوتر خري مري بتلفلف بالممر، فوت القاعة وامتحن.",karaki,negative,medium
"ركز بالدراسة يا محمد، لا تتوهرف وتضيع تعبك عالفاضي.",karaki,neutral,medium
"الغبرة عبت الدار عالأخير، هات المكنسة خلينا ننظف.",karaki,neutral,high
"فاطمة مدبرة ومعدلة، خلت القميص يلمع بلمح البصر.",karaki,positive,high
"احرص وأنت بتشطف، الأرض بتزحلق لا تدعثر.",karaki,neutral,medium
"عشي الضوء بعد ما تخلص، بدنا نوفر كهربا.",karaki,neutral,low
"دير بالك وأنت طالع عالدرج، الثلاجة ثقيلة بتكسر الظهر.",karaki,neutral,low
"حط الكراتين بالزاوية غاد، وعشي الضوء وراك.",karaki,neutral,medium
"هالبيت أوسع من القديم، انطح فالك يا رجل فوت شوف الغرف.",karaki,positive,medium
"عمرقوي والله، شال الخزانة لحاله عالسريع.",karaki,positive,low
دورت عالملف بكل مكان بالمكتب وما لقيته.,karaki,neutral,low
"أنت دايماً بتضيع أوراقك، صاير غلاّط وما بتركز.",karaki,negative,medium
"لقيت الملف عالطاولة، الحمد لله الشغل ما ضاع.",karaki,positive,low
"عمّر الدلة، الضيوف صاروا عالطريق.",karaki,neutral,medium
جيب المحماسة وبلش حمس القهوة عالأصول.,karaki,neutral,medium
"كثر الهيل عالقهوة، عشان تطلع بتعدل الراس.",karaki,positive,low
"القهوة صايدة يا فاطمة، ديريها وارجعي سوي غيرها.",karaki,negative,medium
"هص العيل لا يظل يصرخ، الجيران بيسمعونا.",karaki,negative,medium
"صن يا ولد، الأكبر منك قاعدين عالكراسي وبيحكوا اسمع حكيهم شوي بلكي صرت تفهم. ",karaki,negative,medium
"انفهق غاد عن التلفزيون، لا تكسره وأنت بتلعب.",karaki,negative,low
"الولد غشيم، وقّع الكاسة عالأرض و انسكرت.",karaki,negative,high
"هالبطيخ مبين عليه خاثر وزاكي، اوزن لنا بطيخة.",karaki,positive,high
"البياع هداك شفح، بوزن الخضرة بأسعار غالية بيستغل الناس.",karaki,negative,medium
"احرص وأنت ماشي عالحسبة، الأرض مليانة مي لا تدقس.",karaki,neutral,high
"الخضرة اليوم طازجة، خلينا نشتري مونة للدار.",karaki,positive,low
"المرشح هداك بيفهم و براعي الناس زقرت ابن ناس، بيستاهل نعطيه صوتنا.",karaki,positive,high
"لدوا علي جاي يا خوان، لا تنتخبوا واحد مضروب مبدل.",karaki,negative,medium
"بطل تهذرم وتجيب سيرته، خلينا نغير الموضوع.",karaki,negative,medium
"الجنزير فلت عالطريق، هات غيار خلينا نبدلو.",karaki,neutral,low
"دير بالك وأنت بترفع العجل، لا تدعثر وتجرح إيدك.",karaki,neutral,medium
"البسكليت غور عاطل، كل يوم بيخرب وبده تصليح.",karaki,negative,medium
"المصلح يعتمد على يا محمود، ركب جنزير جديد بلمح البصر.",karaki,positive,low
"الجو الصبح بيرد الروح، خلينا نمشي شوي.",karaki,positive,high
"احرص وأنت بتركض عالمسار، دير بالك لا تدعثر وتوقع.",karaki,neutral,medium
"الشاب هداك لياقته ممتازة، بيلف الحديقة عالسريع ومبين هشم.",karaki,positive,high
"لا تتوهرف وتركض بسرعة من أولها، بتتعب وما بتكمل.",karaki,neutral,low
"الدور طويل عالمخبز، الناس كلها بدها تشتري خبز.",karaki,neutral,low
