id ,text,source,label_guess,confidence,classification
348,وش ذا اللي سويته,Twitter,Bedouin,Medium,Neutral
349,لا تعجّل الأمور تجي بوقتها,Twitter,Bedouin,Medium,Neutral
350,تعال اقعد معنا شوي,Facebook,Bedouin,Medium,Neutral
351,أبشر يا ولدي ما عليك,LLM,Bedouin,High,Positive
352,ما عليه خير إن شاء الله,Facebook,Bedouin,Medium,Positive
353,يالله عسى الله يوفقك,Facebook,Bedouin,Medium,Positive
354,ترا ما قصّرت يا خوي,Facebook,Bedouin,Medium,Neutral
355,وش هالطاري اللي جابك,LLM,Bedouin,High,Neutral
356,أنا عند كلمتي وما أحيد عنها,LLM,Bedouin,High,Neutral
357,خير إن شاء الله وش صار,Twitter,Bedouin,Medium,Positive
358,روح الله يحفظك,Facebook,Bedouin,Medium,Positive
359,تدلّل يا ابن العم,Twitter,Bedouin,High,Neutral
360,والله ما أدري وش أقول,LLM,Bedouin,Medium,Neutral
361,يا حيّه يا ولد العم,LLM,Bedouin,High,Neutral
362,الله يرحم والديك,LLM,Bedouin,Medium,Neutral
363,بيض الله وجهك يا رجال,LLM,Bedouin,High,Positive
364,خذ راحتك يا ضيفنا,Twitter,Bedouin,High,Neutral
365,ما شاء الله تبارك الله,Twitter,Bedouin,Medium,Positive
366,الله يكتب لك الخير,LLM,Bedouin,Medium,Positive
367,حيّاك الله يا غالي,Twitter,Bedouin,High,Positive
368,طلعنا نقنص بالبر وصدنا أرنب,Twitter,Bedouin,High,Neutral
369,الصقر انقض على الحبارى وما أفلتت,Twitter,Bedouin,High,Neutral
370,القنص هواية الرجال من قديم الزمان,Twitter,Bedouin,High,Neutral
371,دربنا الصقر ليوم الصيد,LLM,Bedouin,High,Neutral
372,الكلاب السلوقية سريعة بالقنص,LLM,Bedouin,High,Neutral
373,رحنا رحلة صيد وجبنا غزال,Twitter,Bedouin,High,Positive
374,الصقّار يعرف يتعامل مع الطير,LLM,Bedouin,High,Neutral
375,القنص بالشتا أحلى والطقس يساعد,LLM,Bedouin,High,Positive
376,صقرنا حر أصيل وما يفشل,LLM,Bedouin,High,Positive
377,الصيد رزق من الله,Facebook,Bedouin,Medium,Neutral
378,الليلة نقنص ومعنا الكشاف,LLM,Bedouin,High,Neutral
379,الصقر الحر أغلى من الذهب عندنا,Facebook,Bedouin,High,Neutral
380,طلعنا للبر ومعنا البندق والصقر,LLM,Bedouin,High,Neutral
381,صدنا حبارى وشويناها على النار,Twitter,Bedouin,High,Neutral
382,القناص لازم يكون صبور ويعرف الوقت المناسب,LLM,Bedouin,High,Neutral
383,الضبان كثيرة بالبر هالأيام,Facebook,Bedouin,High,Positive
384,طيرنا الصقر على الفريسة وجابها,LLM,Bedouin,High,Neutral
385,رحلة القنص تحتاج تجهيز من الليل,Facebook,Bedouin,High,Neutral
386,الصياد الشاطر ما يرجع بدون صيد,Facebook,Bedouin,High,Neutral
387,تدربت على الرماية من صغري,LLM,Bedouin,High,Neutral
388,زرعنا القمح بالخريف وإن شاء الله نحصد بالربيع,LLM,Bedouin,High,Positive
389,البير حفرناه عميق ولقينا ماء,LLM,Bedouin,High,Neutral
390,النخل محتاج سقي والماء قليل,Facebook,Bedouin,High,Neutral
391,الأرض خصبة والزرع طالع حلو,Twitter,Bedouin,High,Neutral
392,حصدنا الشعير وخزنّاه للحلال,Twitter,Bedouin,High,Neutral
393,الفلج يجري والماء يسقي البستان,LLM,Bedouin,High,Neutral
394,غرسنا نخل جديد بالمزرعة,LLM,Bedouin,High,Neutral
395,موسم التمر جا ولازم نصرم النخل,Facebook,Bedouin,High,Positive
396,الماء أساس الحياة وبدونه ما نقدر,LLM,Bedouin,Medium,Neutral
397,سقينا الزرع من البير بالدلو,Facebook,Bedouin,High,Neutral
398,الأرض عطشانة والمطر تأخر علينا,Twitter,Bedouin,High,Negative
399,التمر يابس وجاهز للتخزين,Twitter,Bedouin,High,Positive
400,عندنا بستان نخل كبير والحمد لله,LLM,Bedouin,High,Positive
401,الحصاد هالسنة وفير والخير كثير,LLM,Bedouin,High,Positive
402,البير قرب يجف ولازم نحفر واحد ثاني,Twitter,Bedouin,High,Neutral
403,النخل طرح رطب حلو المذاق,Twitter,Bedouin,High,Positive
404,سوّينا حديقة صغيرة جنب الخيمة,Facebook,Bedouin,High,Neutral
405,الماء بارد من البير ولذيذ,LLM,Bedouin,High,Positive
406,زرعنا برسيم للحلال يتغذى عليه,LLM,Bedouin,High,Neutral
407,الأرض خضرت بعد المطر والحمد لله,LLM,Bedouin,High,Positive
408,أبوي علمني الرجولة من صغري,Twitter,Bedouin,High,Neutral
409,جدي كان شيخ القبيلة والكل يحترمه,Twitter,Bedouin,High,Neutral
410,أمي تدعي لنا كل يوم الله يحفظها,LLM,Bedouin,Medium,Positive
411,ابن العم قريب ولو بعد المسافة,Twitter,Bedouin,High,Neutral
412,القبيلة كلها عيلة واحدة,LLM,Bedouin,High,Neutral
413,الكبير عندنا محترم والصغير محبوب,LLM,Bedouin,High,Positive
414,عيالنا تربوا على العادات والتقاليد,Facebook,Bedouin,High,Positive
415,نسب عيلتنا معروف ومحفوظ,Facebook,Bedouin,High,Neutral
416,الخال سند والعم عزوة,Facebook,Bedouin,High,Neutral
417,الأم أغلى من الدنيا كلها,Facebook,Bedouin,Medium,Neutral
418,تزوجت من بنت عمي على سنة الله ورسوله,LLM,Bedouin,High,Neutral
419,أولادي كبروا والحمد لله وصاروا رجال,Facebook,Bedouin,Medium,Positive
420,الجد يحكي لنا سوالف القبيلة,LLM,Bedouin,High,Neutral
421,الأب يعلم ولده الرماية وركوب الخيل,Twitter,Bedouin,High,Neutral
422,بيتنا يجمع الكبير والصغير,LLM,Bedouin,Medium,Neutral
423,نسل عيلتنا كبير والحمد لله,LLM,Bedouin,High,Positive
424,القبيلة تحمي بناتها وتكرمهن,Twitter,Bedouin,High,Positive
425,جدتي كانت تحكي لنا قصص من القديم,Twitter,Bedouin,High,Neutral
426,أخوي الكبير مثل أبوي يراعيني,LLM,Bedouin,Medium,Neutral
427,بنات القبيلة محترمات ومصونات,Facebook,Bedouin,High,Neutral
428,الأهل يجتمعون كل خميس على العشا,LLM,Bedouin,Medium,Neutral
429,عيلتنا من أكبر عيال القبيلة,Twitter,Bedouin,High,Positive
430,جدي ورثنا الشجاعة والكرم,Twitter,Bedouin,High,Positive
431,الوالد كلمته واحدة وما يتراجع,LLM,Bedouin,High,Neutral
432,نحترم كبارنا ونحنّ على صغارنا,Twitter,Bedouin,Medium,Positive
433,الفرس العربية أصيلة وسريعة,LLM,Bedouin,High,Positive
434,ركبت الخيل من صغري وتعلمت الفروسية,Twitter,Bedouin,High,Neutral
435,الحصان الأصيل يعرف صاحبه,Twitter,Bedouin,High,Positive
436,عندنا خيل عربية أصيلة من سلالة قديمة,LLM,Bedouin,High,Positive
437,المهرة ولدت وأمها ترضعها,Twitter,Bedouin,High,Neutral
438,الفارس ما ينزل من على فرسه بالمعركة,LLM,Bedouin,High,Neutral
439,سباق الخيل عندنا من أقدم التقاليد,Facebook,Bedouin,High,Positive
440,الخيل تحتاج عناية واهتمام كبير,Facebook,Bedouin,Medium,Neutral
441,فرسنا فازت بالسباق والحمد لله,LLM,Bedouin,High,Positive
442,الخيل العربية مشهورة بالعالم كله,LLM,Bedouin,High,Neutral
443,الفرس الأصيلة ما تخلّي فارسها,Facebook,Bedouin,High,Positive
444,نطعم الخيل شعير وبرسيم,LLM,Bedouin,High,Neutral
445,السرج والجام لازم يكونون نظيفين,Facebook,Bedouin,High,Neutral
446,أبوي كان فارس مشهور بالقبيلة,LLM,Bedouin,High,Neutral
447,الخيل في الحرب أهم من السلاح,LLM,Bedouin,High,Neutral
448,ربينا المهرة لين كبرت وصارت فرس قوية,Twitter,Bedouin,High,Neutral
449,الحصان الأدهم أسرع من الريح,Twitter,Bedouin,High,Neutral
450,الفارس والفرس صاحبين من القدم,Facebook,Bedouin,High,Positive
451,الخيل تحب صاحبها وتحس فيه,Facebook,Bedouin,Medium,Neutral
452,عندنا اسطبل فيه عشر خيل أصيلة,LLM,Bedouin,High,Positive
453,يا عمّي وين أهلك الحين,LLM,Bedouin,Medium,Neutral
454,قعدنا بالمجلس لين نص الليل,LLM,Bedouin,High,Neutral
455,الليلة باردة ولازم نكثّر الحطب,LLM,Bedouin,High,Neutral
456,صبّينا الشاهي ونحمّسنا البن,LLM,Bedouin,High,Neutral
457,الصبح بدري والديكة صاحت,Facebook,Bedouin,High,Neutral
458,خلّونا ننام بدري بكرة علينا شغل,Twitter,Bedouin,Medium,Neutral
459,الولد تعلم يركب الذلول,LLM,Bedouin,High,Positive
460,البنت تغزل الصوف زي أمها,LLM,Bedouin,High,Neutral
461,الجدة تعلم البنات الطبخ البدوي,LLM,Bedouin,High,Neutral
462,سوّينا جريش بالدهن البلدي,Facebook,Bedouin,High,Neutral
463,الكبسة باللحم أحلى شي بالعشا,Twitter,Bedouin,High,Positive
464,المرقوق سويناه بالبر واللحم,Facebook,Bedouin,High,Neutral
465,نطبخ على الحطب والأكل يطلع ألذ,Twitter,Bedouin,High,Positive
466,جهزنا الزاد للرحلة,Facebook,Bedouin,High,Neutral
467,العيال تعلموا الرماية والركوب,Twitter,Bedouin,High,Positive
468,الرجال سهروا والقهوة ما انقطعت,LLM,Bedouin,High,Neutral
469,سمعنا صوت ذيب بالليل,Facebook,Bedouin,High,Neutral
470,الكلاب تحرس الخيام بالليل,Facebook,Bedouin,High,Neutral
471,أشعلنا النار ودفينا عليها,Facebook,Bedouin,High,Neutral
472,المجلس مليان والسوالف حلوة,Twitter,Bedouin,High,Positive
473,يا ولد ناد أخوك يجي يتعشى,Twitter,Bedouin,Medium,Neutral
474,الأكل جاهز تعالوا كلوا,Facebook,Bedouin,Medium,Neutral
475,نحن من أهل البادية ونفتخر,LLM,Bedouin,High,Positive
476,العرب كانوا يتنقلون مع المطر,LLM,Bedouin,High,Neutral
477,الصحرا فيها جمال ما تلقاه بغيرها,LLM,Bedouin,High,Neutral
478,يا خوي تعال نتمشى بالبر,Twitter,Bedouin,High,Neutral
479,شفنا ثعلب بالبر وهرب,Facebook,Bedouin,High,Neutral
480,الضب يطلع بالصيف من جحره,LLM,Bedouin,High,Neutral
481,القنفذ مشى ببطء والعيال يتفرجون,Twitter,Bedouin,High,Neutral
482,طلعنا نجمع فقع بعد المطر,Facebook,Bedouin,High,Neutral
483,حنا بدو ونفتخر بأصلنا,LLM,Bedouin,High,Positive
484,المضيف مفتوح لكل زائر,LLM,Bedouin,High,Neutral
485,الشتا قرب والبرد جاي,Facebook,Bedouin,Medium,Neutral
486,فصلنا ثوب جديد للعيد,LLM,Bedouin,High,Neutral
487,العيد عندنا فرحة كبيرة ونذبح ونكرم,Twitter,Bedouin,High,Positive
488,الجمعة نروح نزور الأهل,Facebook,Bedouin,Medium,Neutral
489,الصيف طويل والبرد قصير عندنا,Twitter,Bedouin,Medium,Neutral
490,لبسنا البشت وروحنا المناسبة,Facebook,Bedouin,High,Neutral
491,الطفل يتعلم من أبوه كل شي,LLM,Bedouin,Medium,Neutral
492,حنا ناس طيبين ونحب الخير للكل,LLM,Bedouin,Medium,Positive
493,القبيلة تجتمع بالمناسبات الكبيرة,Twitter,Bedouin,High,Neutral
494,نار الشتا دافية والسوالف حلوة,LLM,Bedouin,High,Positive
495,الجمر أحمر والقهوة تفور,Facebook,Bedouin,High,Neutral
496,سرينا بالليل والنجوم تضوي لنا,LLM,Bedouin,High,Neutral
497,الرحلة كانت طويلة بس ما تعبنا,Facebook,Bedouin,Medium,Positive
498,إذا جاك ضيف أكرمه ولو ما تعرفه,LLM,Bedouin,High,Positive
499,الولد لازم يتعلم الشجاعة من صغره,LLM,Bedouin,High,Neutral
500,المرأة البدوية تنصب الخيمة وتحلب الناقة,LLM,Bedouin,High,Neutral
501,أبوي يحكي لنا عن أيام الطيبين,Twitter,Bedouin,High,Positive
502,زمان كان الناس أطيب والحياة أبسط,Twitter,Bedouin,Medium,Positive
503,الجو صحو والسما صافية اليوم,LLM,Bedouin,Medium,Positive
504,قطعنا الوادي ووصلنا الجهة الثانية,Facebook,Bedouin,High,Neutral
505,الذيب ما ياكل من حلال الجيران,Twitter,Bedouin,High,Neutral
506,حطينا السدو على الأرض وفرشنا المجلس,LLM,Bedouin,High,Neutral
507,المرأة تسوي السدو وتطرّزه,Twitter,Bedouin,High,Neutral
508,الحنّاء تزيّن يد العروس,LLM,Bedouin,High,Positive
509,الطفل يلعب بالرمل والأم تراقبه,LLM,Bedouin,Medium,Neutral
510,خبز التنور أحلى من خبز الفرن,LLM,Bedouin,High,Positive
511,اللبن الرائب بارد ولذيذ بالصيف,LLM,Bedouin,High,Positive
512,الكليجا والبسكوت من حلويات البادية,Facebook,Bedouin,High,Positive
513,الوسم نزل والأرض بتخضر إن شاء الله,Twitter,Bedouin,High,Neutral
514,السيل جا من الجبل وملا الوادي,Facebook,Bedouin,High,Neutral
515,الربيع جا والأرض مفروشة ورد,Twitter,Bedouin,High,Positive
516,القيظ بدأ والحرارة مرتفعة,Twitter,Bedouin,High,Neutral
517,الصرصر هبّ والرمل ثار,LLM,Bedouin,High,Neutral
518,المطر غسل الصحرا وريحته حلوة,Twitter,Bedouin,High,Positive
519,الشتا طويل هالسنة والبرد شديد,LLM,Bedouin,High,Neutral
520,السحاب تلبّد والمطر قريب,LLM,Bedouin,Medium,Neutral
521,الندى نزل بالصبح والأرض رطبة,Twitter,Bedouin,High,Neutral
522,الحر خفّ والنسمة باردة,LLM,Bedouin,Medium,Neutral
523,البرق لمع بالسما والرعد دوّى,LLM,Bedouin,High,Neutral
524,الضباب كثيف الصبح وما نشوف قدامنا,LLM,Bedouin,Medium,Neutral
525,الريح جنوبية وحارة اليوم,LLM,Bedouin,High,Neutral
526,الصيف قارب والنخل بيثمر,Facebook,Bedouin,High,Neutral
527,الشمس حامية ونحتاج ظل,Twitter,Bedouin,Medium,Neutral
528,نجوم الليل كثيرة ما تنعد,Facebook,Bedouin,High,Positive
529,البرد كسّر والثلج نزل على القمم,Facebook,Bedouin,High,Neutral
530,ريح القوس هبّت بعد المطر,LLM,Bedouin,High,Neutral
531,الجو معتدل والسما صافية والحمد لله,Facebook,Bedouin,Medium,Positive
532,العاصفة هدت وصفت السما,LLM,Bedouin,High,Positive
533,يا عيال خلوا السوالف لبعدين,LLM,Bedouin,Medium,Neutral
534,الرجال ما تنكسر كلمته,LLM,Bedouin,High,Positive
535,ما نامن غير ما نطمن على الحلال,Twitter,Bedouin,High,Neutral
536,الغترة والعقال زينة الراس,LLM,Bedouin,High,Positive
537,البشت حقّ المناسبات والمجالس,Twitter,Bedouin,High,Neutral
538,الخنجر من تراث جدودنا,LLM,Bedouin,High,Neutral
539,السيف والبندق عدة الرجال,LLM,Bedouin,High,Neutral
540,بيت الشعر من وبر الإبل,Facebook,Bedouin,High,Neutral
541,المحالة نسويها بالصيف والجو حار,LLM,Bedouin,High,Neutral
542,الربابة تعزف والشاعر ينشد,Twitter,Bedouin,High,Neutral
543,عندنا عادة القهوة ما تتغير,Facebook,Bedouin,High,Neutral
544,الدلة النجدية شكلها مميز,Facebook,Bedouin,High,Neutral
545,نحمّص البن ونطحنه بالنجر,LLM,Bedouin,High,Neutral
546,صوت الهاون يسمعونه الجيران,Facebook,Bedouin,High,Neutral
547,المبخرة تعطر المجلس,Twitter,Bedouin,High,Neutral
548,العود والبخور من عاداتنا,Facebook,Bedouin,Medium,Neutral
549,المجلس عامر بالرجال والقهوة,Twitter,Bedouin,High,Positive
550,نلبس الثوب الأبيض والشماغ الأحمر,Facebook,Bedouin,High,Neutral
551,عباية أمي مطرزة بالإيد,LLM,Bedouin,High,Neutral
552,المرأة البدوية قوية ومعتمدة على نفسها,LLM,Bedouin,High,Neutral
553,الحطب نجمعه من الأشجار الميتة,Facebook,Bedouin,High,Neutral
554,القربة فيها ماء بارد للشرب,LLM,Bedouin,High,Neutral
555,السفرة فيها تمر ولبن وخبز,Twitter,Bedouin,High,Neutral
556,نجلس على الأرض ونفرش البساط,LLM,Bedouin,High,Neutral
557,الشب ما يتزوج إلا بعد ما يثبت نفسه,LLM,Bedouin,High,Neutral
558,العقل قبل الشجاعة عند البدوي,Twitter,Bedouin,Medium,Neutral
559,الأصيل يبان من فعاله مو من كلامه,Facebook,Bedouin,Medium,Positive
560,حنا أهل البر والصحرا وما نبدلها بشي,Twitter,Bedouin,High,Neutral
561,الليل ساكت وما فيه إلا صوت الريح,LLM,Bedouin,High,Neutral
562,القمر طالع والدنيا نور,Twitter,Bedouin,Medium,Neutral
563,بعنا الإبل بالسوق وجبنا سعر طيب,LLM,Bedouin,High,Neutral
564,التاجر جا يشتري صوف من عندنا,Facebook,Bedouin,High,Neutral
565,سوق الحلال يوم الخميس وكل القبايل تحضر,LLM,Bedouin,High,Neutral
566,ثمن الناقة الأصيلة ما يتفاوض عليه,LLM,Bedouin,High,Positive
567,بعنا التمر وشرينا قمح ورز,Facebook,Bedouin,High,Neutral
568,القافلة وصلت ومعها بضاعة كثيرة,LLM,Bedouin,High,Positive
569,التجارة عندنا على الأمانة والصدق,Facebook,Bedouin,High,Positive
570,كيلة التمر بسعر اليوم غالية,Twitter,Bedouin,High,Positive
571,السوق مليان والناس تبيع وتشتري,Twitter,Bedouin,Medium,Neutral
572,بعنا الصوف والجلود واشترينا أغراض,Twitter,Bedouin,High,Neutral
573,التاجر كلمته واحدة زي الرجال,LLM,Bedouin,High,Neutral
574,الحلال سمين وسعره طيب بالسوق,Facebook,Bedouin,High,Positive
575,جبنا بضاعة من المدينة للبادية,Twitter,Bedouin,High,Neutral
576,الميزان لازم يكون عدل والتجارة أمانة,Facebook,Bedouin,High,Positive
577,شرينا فحم وحطب للشتا,Facebook,Bedouin,High,Neutral
578,الجوع ما يكسر رجال أصيل,LLM,Bedouin,High,Positive
579,صبرنا على الشدة والله ما خيّبنا,Facebook,Bedouin,High,Neutral
580,المحل ضرب الأرض والماء شح,Facebook,Bedouin,High,Negative
581,الأيام ما تبقى على حال واحد,Twitter,Bedouin,Medium,Neutral
582,السنين الصعبة تصنع رجال أقوياء,Twitter,Bedouin,Medium,Positive
583,الصبر على البلا من شيم الأصيلين,Twitter,Bedouin,High,Positive
584,الجدب ضرب والحلال ضعف,LLM,Bedouin,High,Negative
585,ما ننكسر مهما صارت الظروف,LLM,Bedouin,High,Positive
586,الحياة بالصحرا صعبة بس تعلمك القوة,Facebook,Bedouin,High,Positive
587,رحلنا من مكان لمكان ندوّر الماء والمرعى,LLM,Bedouin,High,Neutral
588,الشدة ما تدوم والفرج من الله,Facebook,Bedouin,Medium,Neutral
589,تحمّلنا الحر والبرد وما شكينا,Facebook,Bedouin,High,Neutral
590,المحل طوّل وما نزل مطر من شهور,Twitter,Bedouin,High,Negative
591,الرجال ما تبكي بس تصبر وتتوكل,LLM,Bedouin,High,Positive
592,عشنا أيام صعبة بس الله كريم,LLM,Bedouin,Medium,Positive
593,مع السلامة يا خوي الله يوصلك بالسلامة,LLM,Bedouin,High,Positive
594,حي الله بالرجال والله اشتقنا لكم,Facebook,Bedouin,High,Positive
595,يا مرحبا بالغالين نورتوا المكان,LLM,Bedouin,High,Positive
596,الله يسهّل دربك يا ولدي,Twitter,Bedouin,High,Neutral
597,وحشتنا يا خوي من زمان ما شفناك,Facebook,Bedouin,High,Neutral
598,يالله بالسلامة وترجع بالخير,Twitter,Bedouin,High,Positive
599,الله لا يغيّر عليك يا طيب,LLM,Bedouin,High,Positive
600,حيّا الله من جا ونوّر المكان,Facebook,Bedouin,High,Positive
601,الله يحفظك ويسلمك من كل شر,LLM,Bedouin,Medium,Positive
602,أهلاً وسهلاً فيك يا ابن الحلال,LLM,Bedouin,High,Positive
603,تفضل اقعد والبيت بيتك,Facebook,Bedouin,High,Neutral
604,شرّفتنا يا بو فلان تفضل للمجلس,LLM,Bedouin,High,Neutral
605,يا هلا بالطيبين حيّاكم الله,Facebook,Bedouin,High,Positive
606,الله يطوّل بعمرك يا عمّي,Twitter,Bedouin,Medium,Neutral
607,ما تقصّر يا ولد العم دايم تتذكرنا,Twitter,Bedouin,High,Neutral
608,الجريش باللحم والسمن البلدي أحلى أكل,Facebook,Bedouin,High,Positive
609,سوّينا ثريد باللحم والمرق,LLM,Bedouin,High,Neutral
610,حنيذ اللحم بالتنور طلع لذيذ,LLM,Bedouin,High,Positive
611,المنسف بالجميد واللحم على الرز,LLM,Bedouin,High,Neutral
612,خبز الصاج طازج ولذيذ,Facebook,Bedouin,High,Positive
613,سوّينا حاشي ارز بلحم,LLM,Bedouin,High,Neutral
614,العصيدة بالتمر والسمن أحلى شي,Twitter,Bedouin,High,Positive
615,حلبنا الغنم وسوّينا جبن بلدي,Facebook,Bedouin,High,Positive
616,القرصان بالمرق يدفّي بالشتا,LLM,Bedouin,High,Neutral
617,التمر واللبن فطور البدوي,Twitter,Bedouin,High,Neutral
618,المظبي على الحجر طلع زي العسل,Twitter,Bedouin,High,Neutral
619,الزبدة البلدية من حليب الغنم,LLM,Bedouin,High,Neutral
620,طبخنا المعصوب بالموز والعسل,Facebook,Bedouin,High,Neutral
621,الحليب طازج من الناقة وحلو,LLM,Bedouin,High,Positive
622,سوّينا مضغوط باللحم والرز,Facebook,Bedouin,High,Neutral
623,جدي يقول اسمع كلام الكبار تسلم,LLM,Bedouin,High,Neutral
624,أبوي علمني إن الرجال بكلمته,Twitter,Bedouin,High,Neutral
625,الكبار يقولون الطيب ما يضيع,LLM,Bedouin,Medium,Positive
626,من زمن جدودنا ونحن على هالطريقة,Facebook,Bedouin,High,Neutral
627,الجد يقول اللي ما له أول ما له آخر,Twitter,Bedouin,Medium,Neutral
628,تعلمت من جدي إن الصبر ينفع صاحبه,Twitter,Bedouin,Medium,Positive
629,كلام الأجداد حكمة ما تتغير,LLM,Bedouin,Medium,Neutral
630,عمي يقول الرجال مواقف مو كلام,LLM,Bedouin,High,Neutral
631,أبوي كان يقول احفظ لسانك يحفظك,LLM,Bedouin,Medium,Neutral
632,الكبار عندنا مدرسة نتعلم منها,Facebook,Bedouin,Medium,Neutral
633,جدتي تقول البنت بأخلاقها مو بشكلها,Twitter,Bedouin,High,Neutral
634,من حكم جدي اللي يزرع يحصد,Facebook,Bedouin,Medium,Neutral
635,أبوي قال لي كون مع الحق لو كان ضدك,LLM,Bedouin,Medium,Neutral
636,الجد يوصي اكرم الجار والضيف,LLM,Bedouin,High,Positive
637,كبارنا يقولون العرض أغلى من المال,Facebook,Bedouin,High,Neutral
638,الشرف عندنا فوق كل اعتبار,Twitter,Bedouin,High,Positive
639,الرجال تنكسر ولا تنحني,LLM,Bedouin,High,Positive
640,العرض والشرف ما لهم ثمن,LLM,Bedouin,High,Positive
641,الكرامة أغلى من الروح عندنا,Facebook,Bedouin,High,Positive
642,البدوي يموت ولا يعيش ذليل,LLM,Bedouin,High,Positive
643,الشهامة والمروءة من صفات الأصيل,LLM,Bedouin,High,Positive
644,نحمي العرض بالدم لو لزم الأمر,Twitter,Bedouin,High,Neutral
645,الكذب عيب والصدق منجاة,LLM,Bedouin,Medium,Positive
646,الغدر ما يصدر من الأصيل أبد,LLM,Bedouin,High,Neutral
647,الوفا صفة ما يحملها إلا الرجال,LLM,Bedouin,High,Positive
648,كلمة الشرف ما تنكسر عندنا,Facebook,Bedouin,High,Neutral
649,الجبان ما له مكان بين الرجال,Facebook,Bedouin,High,Negative
650,الأمانة فوق كل شي والخيانة عيب,LLM,Bedouin,High,Neutral
651,نفتخر بأصلنا ونحافظ على شرفنا,LLM,Bedouin,High,Positive
652,الرجال الأصيل ما يخون عهده أبد,LLM,Bedouin,High,Positive
653,سهرنا على ضو القمر والسوالف ما خلصت,Facebook,Bedouin,High,Neutral
654,الثريا بانت بالسما والوقت تأخر,LLM,Bedouin,High,Neutral
655,ليالي الصحرا حلوة والنجوم قريبة,LLM,Bedouin,High,Positive
656,نهتدي بالنجم القطبي بالسفر بالليل,Twitter,Bedouin,High,Neutral
657,السما مليانة نجوم والقمر بدر,Facebook,Bedouin,High,Neutral
658,الليل هادي وما فيه إلا صوت الجنادب,LLM,Bedouin,High,Positive
659,قعدنا حول النار ننتظر الفجر,Facebook,Bedouin,High,Neutral
660,سهرة الليلة حلوة مع الربع,Facebook,Bedouin,Medium,Positive
661,الليل طويل بالشتا والسوالف أطول,LLM,Bedouin,High,Neutral
662,ضو القمر ينوّر الصحرا كأنه نهار,LLM,Bedouin,High,Positive
663,النجمة سهيل بانت ودخل وقت الحر,LLM,Bedouin,High,Neutral
664,سمعنا صوت البوم بالليل,LLM,Bedouin,High,Neutral
665,الليل بالبادية ساكن وهادي,Facebook,Bedouin,High,Positive
666,ولعنا نار كبيرة ودفّينا عليها,LLM,Bedouin,High,Neutral
667,القمر غاب والظلام شديد,LLM,Bedouin,High,Neutral
668,جدي حارب وانتصر والكل يتذكره,Twitter,Bedouin,High,Positive
669,قبيلتنا عندها تاريخ طويل ومشرّف,Twitter,Bedouin,High,Neutral
670,أبوي يحكي لنا كيف كانوا يعيشون قبل,LLM,Bedouin,High,Neutral
671,نحفظ تاريخ القبيلة ونورّثه للأجيال,Twitter,Bedouin,High,Positive
672,جدي كان يعرف كل درب بالصحرا,Facebook,Bedouin,High,Neutral
673,القصص اللي يحكونها الكبار فيها عبر كثيرة,Twitter,Bedouin,High,Positive
674,من أيام جدي والقبيلة معروفة بالكرم,LLM,Bedouin,High,Positive
675,أبوي ورّثنا أرض وإبل والحمد لله,LLM,Bedouin,High,Positive
676,تاريخ القبيلة محفوظ بصدور الرجال,LLM,Bedouin,High,Neutral
677,جدتي كانت شاعرة ومعروفة بالقبيلة,Facebook,Bedouin,High,Neutral
678,حفظنا نسبنا من عشرين جد,Twitter,Bedouin,High,Neutral
679,القبيلة هاجرت من نجد للشمال قبل مئة سنة,Facebook,Bedouin,High,Neutral
680,جدي كان أول من حفر بير بالمنطقة,Twitter,Bedouin,High,Neutral
681,الأجداد عاشوا حياة صعبة بس كانوا أقوياء,LLM,Bedouin,High,Positive
682,ورثنا العادات والتقاليد من جيل لجيل,Facebook,Bedouin,High,Neutral
683,يا عيال تعالوا نشرب قهوة بالمجلس,LLM,Bedouin,High,Positive
684,الديرة هادية والناس طيبين,LLM,Bedouin,Medium,Positive
685,حنا من عرب الشمال ونفتخر,LLM,Bedouin,High,Positive
686,المضيف عندنا مفتوح أربع وعشرين ساعة,Facebook,Bedouin,High,Neutral
687,الرجال اللي يوفي بكلمته يستاهل الاحترام,LLM,Bedouin,High,Positive
688,حنا نشرب القهوة بدون سكر عادة,LLM,Bedouin,High,Neutral
689,الفنجال الأول للضيف والثاني للسيف,Twitter,Bedouin,High,Neutral
690,يا خوي تعال نتقهوى ونتسامر,Facebook,Bedouin,High,Neutral
691,المجلس بدون قهوة ما يكمل,LLM,Bedouin,High,Neutral
692,القهوة العربية لها طقوس ما تتغير,Facebook,Bedouin,High,Neutral
693,نحمّص البن على النار لين يسود,LLM,Bedouin,High,Neutral
694,الهيل والزعفران يزيّنون القهوة,LLM,Bedouin,High,Positive
695,دقّ النجر يسمعونه الجيران ويجون,Facebook,Bedouin,High,Neutral
696,القهوة رمز الكرم عند البدو,LLM,Bedouin,High,Positive
697,الدلة على النار دايم جاهزة,Facebook,Bedouin,High,Positive
698,صبّ الفنجال وقدّمه بيمينك,Twitter,Bedouin,High,Neutral
699,ما نشرب القهوة إلا بفنجال عربي,Facebook,Bedouin,High,Neutral
700,المعزّب يصبّ القهوة بنفسه للضيوف,LLM,Bedouin,High,Neutral
701,ريحة البن المحمّص تملا المكان,Twitter,Bedouin,High,Neutral
702,الثلاث فناجيل واجب والرابع إذا أحب,Twitter,Bedouin,High,Neutral
703,حنا بدو رحّل ونتنقل مع الخصب,LLM,Bedouin,High,Neutral
