dialect,confidence,sentiment
والله اشتغلنا وما أخذنا شي,high,negative
هالزلمي ما يستاهل الاحترام,high,negative
الله يصلح هالأحوال,high,negative
تعبنا ولا حدا شاف,high,negative
كسر الوعد وراح,high,negative
والله خذلنا بأصعب وقت,high,negative
هالأيام صعبة والله,high,negative
ما نقدر نكمل هيك,high,negative
الولاد كلهم سافروا,medium,negative
بدي أنهي هالشي بسرعة,high,neutral
الله يصبرنا على هالأيام,high,negative
يسلم أيديك يا خالتي,high,positive
والله تعبنا من الانتظار,high,negative
ما كملنا على الموعد,high,negative
شرف علينا ضيافتك,high,positive
والله نورتنا يا عمو,high,positive
هالعيلة مباركة والله,high,positive
ربنا يرزقك يا بني,high,positive
إجا بوقت ما توقعنا,high,neutral
الله يعطيك الصحة والعافية,high,positive
منيح إنك جيت تزورنا,high,positive
يا ريت كل الناس متل هيك,high,positive
شاطر والله ما عليك,high,positive
هالولد بيفرح الأهل,high,positive
والله نجح وفرحنا كتير,high,positive
عشنا وشفنا الفرح,high,positive
ربنا يحفظ هالعيلة,high,positive
ما تأخرنا ولا مرة,high,positive
الله يديم الأخوة والمحبة,high,positive
نحنا بألف خير والحمدلله,high,positive
هالإنسان بيستاهل كل خير,high,positive
والله يا بنتي أفرحتيني,high,positive
والله ما قصرنا معهم,high,positive
الله يحفظ الأهل والجيران,high,positive
مبسوط كتير والحمدلله,high,positive
دايما نكون بالوقت,high,positive
ربنا يوفق هالشباب,high,positive
هالبيت فيه بركة والله,high,positive
يا ريت هالأيام ما تنتهي,high,positive
الله يعطيك فوق ما بتتمنى,high,positive
هاد زلمي أصيل وكريم,high,positive
ما خذلنا أحد طلب منا,high,positive
ربنا يديم النعمة علينا,high,positive
كلنا وقفنا مع بعض,high,positive
والله تعلم وأكرمنا,high,positive
ما شاء الله عليه شاطر,high,positive
الله يرزقك يا عمي,high,positive
هالعروس حلوة والله,high,positive
فرحنا بزفافهم كتير,high,positive
هالسهرة ما نسيناها,high,positive
ربنا يكرم اللي كرمنا,high,positive
والله بركة ببيتكم,high,positive
هالولد أكرم ضيوفه,high,positive
خير وبركة من ربنا,high,positive
والله استاهلوا كل خير,high,positive
هالإنسان الطيب ما بينسى,high,positive
ربنا يوفقهم بحياتهم,high,positive
هالعيلة بيت شرف والله,high,positive
بركة بهالأيام الحلوة,high,positive
الله يزيدهم من فضله,high,positive
نحنا مبسوطين والله,high,positive
ما تركنا أحد لحاله,high,positive
بنت عمي تجوزت الشهر الفايت,high,neutral
روحنا على عرس جيراننا,high,neutral
المدرسة بعيدة على أولادنا,medium,neutral
عندنا بقرة ولدت توأم,high,neutral
دايما نحكي مع بعض,high,positive
هالصيف حار كتير هالسنة,high,neutral
اتصلت فيه وما رد,high,negative
بعت رسالة وما جاوب,high,negative
ما رحنا على السوق الأسبوع,high,neutral
اشترينا شوية دجاج للبيت,high,neutral
الديوان مليان ناس أمس,high,neutral
حكينا مع الشيخ عن الموضوع,high,neutral
المختار جاب خبر جديد,high,neutral
ما فهم شو بدي منه,high,negative
ما سمع كلام أهله,high,negative
دايما يعمل على كيفه,high,negative
شفت ناس من بلدنا بالمدينة,high,neutral
هالشتا نزل مطر كتير,high,neutral
إجانا خبر من الغربة,high,neutral
قررنا نبني غرفة للضيوف,medium,neutral
العيلة اجتمعت على العشا,high,neutral
ما يقبل نصيحة أحد,high,negative
الأولاد بدهم ملابس الشتا,high,neutral
بكرا في سوق أسبوعي,high,neutral
رحنا نزور القبر يوم الجمعة,high,neutral
هالأسبوع في أعياد,high,neutral
قلت لأبوي قصة المدرسة,high,neutral
ما أكلنا غير الخبز والزيت,high,neutral
الأكل على النار أحلى,high,neutral
والله مو منيح هالتصرف,high,negative
الزلابية والقهوة بالعيد,high,neutral
عزمنا الجيران على العشا,high,neutral
ما راح نسامحه بسهولة,high,negative
الشتا إجا بدري هالسنة,high,neutral
رحت أجيب الحليب من الجار,high,neutral
الدجاج باضت كتير هالأيام,high,neutral
المطر وقف من أمس,high,neutral
ما في تلج لهلق,high,neutral
هاد الكلام وجع قلب,high,negative
ما توقعنا منه هيك,high,negative
كل الأهل اجتمعوا بالعيد,high,neutral
ما شفنا بعض من زمان,high,neutral
الله يرجعك بالسلامة,high,positive
يا ريت تزورنا أكتر,high,positive
والله فرحنا لما جيت,high,positive
ربنا يكتب السعادة لكم,high,positive
هالبنت شاطرة بالدراسة,high,positive
ما شاء الله على هالشب,high,positive
هالبلد فيها خير والله,high,positive
تمنيت لك التوفيق دايما,high,positive
هالناس ما بتنسى المعروف,high,positive
ربنا يوفقك بكل خطوة,high,positive
والله انبسطنا بخبرك,high,positive
هالخبر فرحنا كتير,high,positive
الله يبارك بهالعيلة,high,positive
عشنا وشفنا أفراحكم,high,positive
هالبلد بتستاهل كل خير,high,positive
والله قلبنا معك دايما,high,positive
ربنا يحفظك من كل أذى,high,positive
الله يديم الفرح علينا,high,positive
يا ريت كل يوم متل هاليوم,high,positive
والله بارك الله فيك,high,positive
نحنا فرحانين فيكم والله,high,positive
الله يخليكم لبعض,high,positive
هالإنسان نعمة والله,high,positive
ربنا يزيدك من علمه,high,positive
والله هالشغلة أفرحت القلب,high,positive
نجاحك فرحنا كلنا,high,positive
هالقرار كان منيح والله,high,positive
الله يديم المحبة بيننا,high,positive
شكرا كتير على هالمعروف,high,positive
يا ريت دايما بخير,high,positive
والله هالناس طيبين,high,positive
هاد الزلمي ما أحسن منه,high,positive
الله يعطيك الجنة,high,positive
والله ما توقعنا هيك كرم,high,positive
دايما كريم ومعطاء,high,positive
الله يبارك فيكم وبأولادكم,high,positive
خذلنا بأصعب وقت,high,negative
والله سعدنا فيك كتير,high,positive
ربنا يسعدك ويوفقك,high,positive
هالشب وفي وصادق,high,positive
الله يطول بعمرك يا عمو,high,positive
ما قصرت والله,high,positive
هالعيلة بتستاهل كل فرح,high,positive
وين ما رحت الخير معك,high,positive
الله يوفق اللي بيشتغل بصدق,high,positive
بارك الله بجهودك,high,positive
هالعرس بيستاهل يا زلمي,high,positive
منيح إنك رجعت بالسلامة,high,positive
والله غبت وحشتنا,high,positive
ربنا يكون معك دايما,high,positive
سامعينك من هون والله,high,positive
الله يرضى عليك يا بنتي,high,positive
هالعيلة بيت خير والله,high,positive
شافنا بضيقة وما وقف,high,negative
ربنا يكثر من أمثالك,high,positive
والله هالكلام أفرح القلب,high,positive
ما عندنا غير الله وبعض,high,positive
هالأيام حلوة والحمدلله,high,positive
الله يحفظ الوطن والأهل,high,positive
هالولد فخر لأهله,high,positive
والله استاهل هالنجاح,high,positive
الله يكرمك زي ما كرمتنا,high,positive
نحنا كلنا أهل وعشيرة,high,positive
هالمعروف ما بينسى أبدا,high,positive
والله خير تتعامل معه,high,positive
ربنا ما يحرمنا منك,high,positive
عزيز علينا والله,high,positive
والله هالكرم من الله,high,positive
الله يديم الخير بيننا,high,positive
ما في أحلى من الأهل,high,positive
هالبركة من ربنا,high,positive
نتمنى لك العمر المديد,high,positive
هالإنسان الكريم ما بيتنسى,high,positive
والله أكرمتنا أكتر من اللازم,high,positive
ربنا يحفظ كل اللي حبونا,high,positive
الله يسعدك ويفرحك,high,positive
هالعيلة بتستاهل كل خير,high,positive
بيتك عامر والله,high,positive
الله يعز اللي عزك,high,positive
ما شاء الله عليكم,high,positive
ما مد إيدو لحدا,high,negative
بس بيحكي ما بيعمل,high,negative
هالناس طيبة وبتكفي,high,positive
كلام بلا أفعال,high,negative
هالبنت تربية منيحة,high,positive
والله ما قصر معنا,high,positive
ربنا يرضى عليك,high,positive
الله يجزيك كل خير,high,positive
هالعيلة الطيبة ما في زيها,high,positive
مبسوطين كتير والله,high,positive
الله يكرمك دايما,high,positive
الطقس بارد والنار ضرورة,high,neutral
ما صدق كلامه ولا مرة,high,negative
دايما يوعد وما يوفي,high,negative
الجيران بنوا بيت جديد,high,neutral
شفنا قوس قزح بعد المطر,high,neutral
ما عندنا كهربا من الليل,high,negative
الطين غطى الطريق,high,negative
والله اللي وثق فيه خسر,high,negative
ما بيستحق الثقة أبدا,high,negative
الثلج كتير وما قدرنا نمشي,high,negative
خسارة الوقت اللي قضيناه,high,negative
المياه مقطوعة من يومين,high,negative
الأسعار ارتفعت وما قدرنا,high,negative
ما في عمل للشباب هون,high,negative
ما استفدنا من صداقته,high,negative
والله بدنا نبعد عنه,high,negative
ما بدنا نشوفه تاني,high,negative
قطعنا علاقتنا فيه,high,negative
ما في طبيب قريب منا,high,negative
الولاد ما عندهم مدرسة ثانوية,high,negative
كل الخير راح مع الشباب,medium,negative
والله ما يستاهل الاهتمام,high,negative
تركنا الموضوع وخلصنا,high,neutral
والله ما شفنا دعم من حدا,high,negative
تعبنا بالشتا وما في حل,high,negative
ما بقي شي نحكي فيه,high,neutral
انتهى الموضوع وبس,high,neutral
تعبنا وما حدا شاف جهدنا,high,negative
الشباب هاجروا وما رجعوا,medium,negative
والله راح خيرنا على المدينة,high,negative
الله يكرم اللي ما نسي أصله,high,positive
ما بدنا نرجع لهالكلام,high,neutral
خلص وما بدنا نكمل,high,neutral
والله ما في أحلى من هالهوا,high,positive
هالجبال خلقة ربنا وما أحلاها,high,positive
ما في داعي نرجع فيه,high,neutral
بدنا نتجاوز هالموضوع,high,neutral
والله ما بدنا ذكريات,high,neutral
اتفقنا وخلصنا الحكي,high,neutral
والله الوقت مضى وبس,high,neutral
ما بقي شي يربطنا,high,neutral
كل واحد راح على حاله,high,neutral
ما حكينا من زمان,high,neutral
ما شفناهم من وقت طويل,high,neutral
والله انبسطنا بهالطبيعة,high,positive
هالهوا النقي ما في متله,high,positive
الله يخلي هالبلد وأهلها,high,positive
بعدنا عن بعض شوي,high,neutral
ما صارت زيارة من مدة,high,neutral
بدنا نرجع نتواصل,high,neutral
اشتقنا لهم والله,high,positive
والله بتمنى نشوف بعض,high,positive
ما نسيناهم أبدا,high,positive
دايما بنذكرهم بخير,high,positive
والله ناس ما بتنسى,high,positive
والله هالشجر العتيق بيحكي قصة,high,positive
بتمنى يكونوا بخير,high,positive
ما بيغيب عن بالنا,high,positive
دايما بنسأل عنهم,high,positive
هالبلد تستاهل كل خير,high,positive
والله ما أحلى أيامنا معهم,high,positive
نتمنى نلتقي قريب,high,positive
ما خرج من بالنا,high,positive
والله ما بدنا نرجع لهالموضوع,high,neutral
