sentence,dialect,classification,confidence
هه الله يعطيك العافة كتير حلو,ammani (urban),positive,high
بدها طلعة أخت شلن على آخر الأسبوع ,ammani (urban),neutral,high
يزم مطعم ربيع الوجبة بدينار و نص و الوجبة البرو بدينارين و الطعم اشي بجنن,ammani (urban),neutral,high
أنا بالأردن واول مره اسمع بهيك شارع عندنا,ammani (urban),neutral,high
"عليكي نور, انا صراحة تابعتو و حبيت أفكارو وشفت رجائي افضل واحد فيهم لحد الآن و انا مش عم بهاجمو ابدا. بس زي ما انتي حكيتي ما في داعي نقلد الأجانب بالمسبات لأنو احنا لسا في حياء عنا",ammani (urban),neutral,high
خلص ازا صار في وقت بنزل الفيلم على لابتوبي,ammani (urban),neutral,high
كتييير حلو الفيلم ترا ما توقعت هيك يكون,ammani (urban),positive,high
الفسدق مش اسمه فسدق اسمه مياسي لسا هسا باكل فيه,ammani (urban),neutral,medium
خد مني هالنصيحة ازا بدك مكان محرز تستأجر فيه حاول بمرج الحمام,ammani (urban),neutral,high
  إيش هاد إييييش .. إيش... شو الـــقــــرف هاد ؟!! ,ammani (urban),negative,high
اليوم الوضع من الآخر من زمان الواحد ما كيف هيك,ammani (urban),positive,medium
"طلعت ورجعت بدون ما أحس، يوم خفيف عالماشي، لا عليه ولا إله.",ammani (urban),neutral,high
"يا أخي في إشي غلط، الدنيا مكركبة فوق تحت، وأنا تايه بالنص مش عارف أمسك طرف الخيط.",ammani (urban),negative,medium
يا عفو الله اشكالكو كيف نيكولاس و دروزة  اشي بسد النفس,ammani (urban),negative,medium
فكرة الحلقة كتير واضحة .. انا بحييك,ammani (urban),positive,high
اللي بدو ما يخلي بنفسو,ammani (urban),neutral,high
لويش تظلك تكنكن عالتيليفون طول الليل,ammani (urban),neutral,low
والله انك مبدع وملك الكوميديا ..,ammani (urban),positive,medium
رجائي انت واحد فظييع مش معقول,ammani (urban),positive,medium
ول عليه هذاك اليوم طقعلي و ما رد علي ,ammani (urban),negative,medium
يزم ما الي عقصص الأنمي تبعك ,ammani (urban),neutral,medium
يييي عليكي ما أهبلك هداك هو الدكتور مو الشب اللي عامل المراجعة,ammani (urban),neutral,high
شو اللي كان رايح عليك بالمحاضرة,ammani (urban),neutral,medium
والله يخوي اللي بدري بدري و اللي ما بدري ما بدري,ammani (urban),neutral,medium
يا عمي الدنيا لسى بخير ترِك من ايدك يا حج ولا يهمك,ammani (urban),positive,medium
ونرجع و نقول تحكمو بقلبكم وعقلكم لا تكونو عاطفين ولا باردين كونو وسط,ammani (urban),positive,high
افهم من هيك انه انا ولا صلاة الي انقلبت !!,ammani (urban),neutral,medium
"اليوم حاسس حالي مطفي، حتى الأشياء اللي عادة بتضحكني ما جابت نتيجة، كأنه في زر انطفى فجأة.",ammani (urban),negative,high
ولك سد بوزك ما أقل أدبك ,ammani (urban),negative,high
بطل برم ولك خلص فضحتنا,ammani (urban),negative,medium
الي من الصبح بدور على جرابين بتلبق على اللبسة تاعتي,ammani (urban),neutral,high
عشان تعرف مرة ثانية تنغش بكرا الامتحان حيكون أخو أختو اللي حيعرف يحلو,ammani (urban),negative,medium
هاد المشروع للمادة ما بصير يكون سبهللة يا جماعة ركزوا مشان الله,ammani (urban),negative,high
فعلا انو بتلبقلها هاي اللبسة بتجنن عليها ما شاء الله,ammani (urban),positive,medium
ينصر دين هيك محتوى مش طبيعي بتحكي الي بالقلب,ammani (urban),positive,medium
الموضوع منتشر بشكل كبير خاصة في الزرقا,ammani (urban),neutral,medium
يا جماع اللي لسا عم يدور على تيم يبعتلي,ammani (urban),neutral,high
أنت بس فالح تنكش على الخلق ,ammani (urban),neutral,medium
ازا أنت لسا بالبيت جيب الشنتة و اتأكد انو جواتها الشاحن تبعي,ammani (urban),neutral,high
ليش دايما محمود دروزة عرقان و متوتر,ammani (urban),neutral,medium
كانو يدرسو ع شمعه طب شو كانو يعملو بالنهار,ammani (urban),neutral,medium
هلكونا القطاعات فجروا الأفاريج يزم مش طبيعي شو هاض,ammani (urban),negative,medium
كتير الجو شوب اليوم يتم تغيير نمط اللبس بكرا,ammani (urban),neutral,high
ترا مش شطارة ازا بضلك تنظر على شغل الناس عيب عليك,ammani (urban),negative,high
ياخي اخر ألبوم تبع ناس أول مرة بفيت مع امينيم تخيل مش طبيعي قديش تأخر هالفيت,ammani (urban),neutral,medium
يا جماعة متى أدان المغرب كتييير جوعان,ammani (urban),neutral,high
يعني قدامك الإشارة حمرة ليش عم تلز علي مو فاهم فزر يفزرك ياخي,ammani (urban),negative,high
هه والله انت زووء وكلو هاد بصير,ammani (urban),positive,high
هه يا وحش بس في نهفات كمان كتييير بس ما حكيت عنها بدنا  كمان جزء,ammani (urban),positive,high
بدي اروح أشيك عليه بس يخلص الامتحان,ammani (urban),neutral,medium
بتعجبني المواضيع الي بتحكي فيها..,ammani (urban),positive,high
من لوين هو  قدر يسلخ سيارة زي هيك,ammani (urban),neutral,high
لو في عندك مجال اخطف حالك نص ساعة و روح عالبيت اتأكد اذا الماتور شغال ,ammani (urban),neutral,high
اللي بقدر يساعد يروح على القاعة هسا بس يستعجل عشان ما يضيع الوقت على الفاضي,ammani (urban),neutral,medium
اقعد انرزع هون بديش اسمع نفس,ammani (urban),negative,high
لو معي وقت كان خلصت كل التاسكات بكير,ammani (urban),neutral,high
للأسف في كتير ناس عندها مشكلة بتخليص المعاملات في دائرة الأراضي,ammani (urban),negative,high
والله الامتحان اليوم كان ممتاز لأبعد حد من زمان الواحد ما اجاه امتحان خفيف لطيف متلو,ammani (urban),positive,high
اليوم كيفنا التغت كل المحاضرات ,ammani (urban),positive,medium
هاد الشابتر داخل بالكويز و لا بس بالفاينل,ammani (urban),neutral,high
اخر مرة دوامت من أسبوعين فما بعرف وين صار واصل بالمادة,ammani (urban),neutral,medium
