الجملة,المعنى,Confidence,التصنيف
ملخوم مش عارف شو اساوي,مرتبك ولا أعرف ماذا أفعل,Medium,Negative
حِك ظهرك بيدك,اعتمد على نفسك,Low,neutral
الدنيا صقيع,الجو بارد جداً,Medium,Negative
انكسر خاطري,شعرت بالحزن أو الخذلان,Medium,Negative
ولّعت معه,غضب بشدة,Medium,Negative
فقعت مرارتي,غضبت أو انزعجت لدرجة كبيرة,Medium,Negative
شال الحمل على ظهره,تحمل المسؤولية,Low,neutral
حفرنا بير مي,حفرنا بئر ماء,Medium,neutral
المي مقطوعة,المياه غير متوفرة,Low,Negative
عبّي الخزان,املأ خزان الماء,Low,neutral
شغّل الماتور,قم بتشغيل مضخة الماء,Low,neutral
السطح بدو دحل,السقف الترابي بحاجة لتسوية (دحْل),High,neutral
هات المحدلة,أحضر الأسطوانة الحجرية لتسوية السطح,High,neutral
المزراب بنقّط,ميزاب الماء يسرب,Medium,Negative
انشقّ الثوب,تمزق الثوب,Low,Negative
خيّط الفتق,أرقع أو خِط الثقب,Medium,neutral
لا تعايرني,لا تذكّرني بعيوبي (تعايرني),Medium,Negative
كبّ الزبالة,ارمِ القمامة,Low,neutral
شو هالسولافة الطرما,ما هذه القصة أو المشكلة المزعجة,High,Negative
سيرة وانفتحت,موضوع وبدأ النقاش فيه,Medium,neutral
اجبر بخاطره,واسِه وقل له كلاماً طيباً,Medium,positive
سد دينك,ادفع ما عليك من ديون,Low,neutral
مقحط ما معو قرش,مفلس تماماً,High,Negative
انقطعنا من الخبز,نفد الخبز لدينا,Medium,neutral
الخبز بايت,الخبز غير طازج (قديم),Medium,Negative
سخّن الأكل,قم بتسخين الطعام,Low,neutral
الأكل شاط,احترق الطعام وبداخله طعم شياط,High,Negative
هات الطنجرة المفحمة,أحضر القدر المحروق,High,Negative
حُكّ قاع الطنجرة,اكشط قاع القدر,Medium,neutral
الصينية بتلمع لمع,الصينية نظيفة ومشرقة,Low,positive
غسّل المواعين,اغسل الأطباق,Medium,neutral
الجلي مكوّم,الأطباق المتسخة متراكمة,Medium,Negative
انشر الغسيل عالحبل,علّق الملابس على الحبل لتجف,Medium,neutral
لمّ الغسيل ناشف,اجمع الملابس فقد جفت,Medium,neutral
هات الملاقط,أحضر مشابك الغسيل,Medium,neutral
الحبل ارتخى,حبل الغسيل لم يعد مشدوداً,Low,Negative
انقطعت الكهربا,انقطع التيار الكهربائي,Low,Negative
ضوّي الشمعة,أشعل الشمعة,Low,neutral
اللمبة انحرقت,المصباح تعطل,Low,Negative
صلح الإبريز,أصلح مقبس الكهرباء,Medium,neutral
فكّ البرغي,قم بإزالة المسمار اللولبي,Low,neutral
هات المفك,أحضر مفك البراغي,Low,neutral
دقرت معي,تعندت الأمور,Medium,Negative
لا تدقرلي عوحدة,لا تتصيد أخطائي,High,Negative
الزلمة مطفّر,الرجل مفلس جداً,High,Negative
لا تحرث عليّ,لا ترهقني بكثرة الطلبات,High,Negative
فكّني من هالطابق,أبعدني عن هذه المشكلة/القصة,Medium,Negative
طابق وانكشف,أمر دبر بليل وانكشف,Medium,Negative
ملبّك مش عارف يحكي,مرتبك ولا يستطيع التحدث,Medium,Negative
حيطه واطي,شخص ضعيف يُستقوى عليه,Medium,Negative
عينه قوية,وقح ولا يستحي,Medium,Negative
عينه فارغة,طماع ولا يكتفي,Medium,Negative
نفسه دنية,بخيل أو لئيم,Medium,Negative
شبع بعد جوع,اغتنى بعد فقر ,Medium,Negative
ما بستحي على دمه,لا يوجد لديه خجل أو كرامة,Medium,Negative
اكلنا المقلب,خُدعنا,Low,Negative
صدّق الكذبة,انطلى عليه الكذب ,Low,Negative
لف ودوران,تلاعب ومراوغة,Low,Negative
جاب العيد,ارتكب خطأً فادحاً,Medium,Negative
خبّرني من طقطق للسلام عليكم,أخبرني بالتفاصيل من البداية للنهاية,Medium,neutral
لا تزيد الطين بلة,لا تعقد الأمور أكثر,Low,Negative
ضربني وبكى,اعتدى عليّ ثم تظاهر بأنه الضحية,Low,Negative
امسحها بوجهي,تجاهل الأمر ولا تهتم,High,neutral
ريّح راسك,أرح بالك,Low,neutral
اشرب مي باردة,اهدأ ولا تقلق,Medium,neutral
فورت دمي,أغضبتني بشدة,Medium,Negative
طلعت روحي,مللتني واغضبتني,Medium,Negative
روحي طالعة,أنا في غاية التعب أو الاحتضار,Medium,Negative
لا تظل تنُق,لا تستمر في التذمر والشكوى,Medium,Negative
نقّاق بوجع الراس,كثير الشكوى يسبب الصداع,Medium,Negative
سدّت نفسي,أفقدتني شهيتي,Medium,Negative
ما الي نفس,ليس لدي رغبة,Low,Negative
نفسي مسدودة,لا أشتهي شيئاً,Medium,Negative
اكلت هوا,وقعت في مشكلة أو خُدعت,Medium,Negative
سفّ التراب,أصبح فقيراً جداً أو أُهين,Medium,Negative
كل شي بقضاه وقدره,كل شيء مقدر من الله,Low,neutral
توكل عالله,اعتمد على الله,Low,positive
اللي مكتوب عالجبين,ما قُدر لك ستراه,Low,neutral
العين ما بتعلى عالحاجب,لا يمكن تجاوز المقامات,Low,neutral
طبخ طبخة,دبر مكيدة,Medium,Negative
اكل الطبخة,وقع في الفخ,Medium,Negative
انحرق الكرت,انكشف السر أو فقد تأثيره,Medium,Negative
كرت محروق,شخص فقد مصداقيته أو دوره,Medium,Negative
حرقلي دمي,أثار غضبي الشديد,Medium,Negative
نشّف ريقي,أتعبني بالجدال أو الانتظار,Medium,Negative
ريقي ناشف,أشعر بالعطش أو الخوف,Medium,Negative
بُل ريقك,اشرب شيئاً أو تناول القليل,Medium,neutral
غصيت باللقمة,وقفت اللقمة في حلقي,Medium,Negative
شرق بالمي,اختنق أثناء الشرب,Medium,Negative
كحّ كحة قوية,سعل بشدة,Low,Negative
صدره بخرخش,يوجد بلغم في صدره,Medium,Negative
مفلوز ومرشح,مصاب بالإنفلونزا والزكام,Medium,Negative
مناخيره مسكرة,أنفه مسدود,Low,Negative
راسه بوجعه,يشعر بالصداع,Low,Negative
خذ حبة مسكن,تناول دواءً للصداع,Low,neutral
بده إبرة,يحتاج إلى حقنة طبية,Low,neutral
راح عالدكتور,ذهب إلى الطبيب,Low,neutral
وصفله دوا,كتب له علاجاً,Low,neutral
جيب الدوا من الصيدلية,أحضر العلاج من الصيدلية,Low,neutral
انكسرت إيده,كُسرت ذراعه,Low,Negative
جبّص إيده,وضع جبيرة على يده,Medium,Negative
فك الجبصين,أزال الجبيرة,Medium,positive
عكازة بسند عليها,عصا يعتمد عليها,Medium,neutral
بيعرج عرج,يمشي بصعوبة لوجع في رجله,Low,Negative
رجله بتوجعه,ساقه تؤلمه,Low,Negative
لابس جرابات,يرتدي جوارب,Medium,neutral
البوط ذيق,الحذاء ضيق,High,Negative
اربط البوط,اربط حذاءك,High,neutral
امشي حافي,امشِ بدون حذاء,Low,neutral
الشوك دخل برجله,دخلت شوكة في قدمه,Low,Negative
طلّع الشوكة,أخرج الشوكة,Low,positive
الدم بسيل,الدم ينزف بشدة,Low,Negative
لفّ الجرح,ضع ضمادة على الجرح,Low,neutral
الجرح ملتهب,الجرح مصاب بعدوى,Low,Negative
بده خياطة,الجرح يحتاج إلى تقطيب,Low,Negative
غيّر عالجرح,استبدل ضمادة الجرح,Low,neutral
طاب الجرح,شُفي الجرح,Medium,positive
أثر الجرح مبين,ندبة الجرح واضحة,Low,Negative
انحرق إصبعه,أصيب إصبعه بحروق,Low,Negative
حط مرهم,ضع كريماً علاجياً,Low,neutral
وقع عن الدرج,سقط من على السلالم,Low,Negative
تزحلق بالشارع,انزلق في الطريق,Low,Negative
عمل حادث,تعرض لحادث سير,Low,Negative
السيارة انطعجت,تضررت السيارة,Medium,Negative
صلح السيارة,قم بإصلاح المركبة,Low,neutral
المكنيكي شاطر,الميكانيكي ماهر,Medium,positive
غير الزيت,استبدل زيت المحرك,Low,neutral
البنزين خلص,نفد الوقود,Low,Negative
عبي بنزين,املأ خزان الوقود,Low,neutral
البنشرجي صلح العجل,مصلح الإطارات أصلح العجلة,Medium,positive
العجل بنشر,العجلة ثُقبت,Medium,Negative
غير العجل بالسبير,استبدل الإطار بالاحتياطي,Low,neutral
البطارية نامت,نفدت طاقة البطارية,Medium,Negative
السيارة ما بتشتغل,السيارة لا تعمل,Low,Negative
ادفش السيارة,ادفع المركبة من الخلف,Medium,neutral
طريق طلوع,طريق صاعد (مرتفع),Low,neutral
طريق نزول,طريق هابط (منحدر),Low,neutral
لُف من الدوار,در حول الدوار,Low,neutral
الإشارة حمرا,الإشارة الضوئية حمراء,Low,neutral
اوقَف عاليمين,اصطف بمركبتك على اليمين,Low,neutral
خالفني الشرطي,حرر لي الشرطي مخالفة,Low,Negative
ادفع المخالفة,سدد قيمة المخالفة,Low,neutral
رخّص السيارة,جدد ترخيص المركبة,Low,neutral
التأمين خلص,انتهت صلاحية التأمين,Low,Negative
شيخ العشيرة,كبير القبيلة,Medium,positive
جاهة وعطوة,وفد للصلح ,High,positive
هاتلنا فناجين,احضر لنا فنجان القهوة العربية,Medium,neutral
صبّ القهوة باليسار,اسكب القهوة باليد اليسرى,Medium,neutral
ضيّف القهوة باليمين,قدم فنجان القهوة باليد اليمنى,Medium,neutral
هِز الفنجان,حرك الفنجان دلالة على الاكتفاء,Medium,neutral
دايمة,دامت نعمكم,Medium,positive
صحتين وعافية,هنيئاً ,Low,positive
على قلبك,على قلبك,Low,positive
تسلم إيديك,سلمت يداك,Low,positive
يعطيك العافية,الله يعطيك القوة,Low,positive
شو الأخبار,ما هي الأخبار؟,Low,neutral
صافية وافية,الأمور جيدة ولا جديد,Medium,positive
الحمد لله على كل حال,نحمد الله في كل الظروف,Low,positive
الله يسهل عليك,رافقتك السلامة,Medium,positive
مع السلامة,في أمان الله,Low,positive
بخاطرك,أستأذنك بالانصراف,Medium,neutral
أستودعناك الله,في ودائع الله,Medium,positive
حيّاكم الله,أهلاً بكم,Medium,neutral
يا هلا,أهلاً,Low,neutral
هلا بيك,أهلاً بك,Low,positive
نورتونا,أضأتم المكان بوجودكم,Low,positive
النور نورك,النور بوجودك,Low,positive
ما قصرت,فعلت ما عليك وزيادة,Medium,positive
هاذ واجبنا,هذا واجبنا,Medium,positive
غلبتك معي,أتعبتك معي,Medium,positive
تعبك راحة,طلبك لم يتعبني,Medium,positive
لا شكر على واجب,الشكر غير ضروري للواجب,Low,positive
الله يبارك فيك,بارك الله بك,Low,neutral
مبروك نجاحك وان شاء الله من نجاح لنجاح,مبارك النجاح,Low,positive
عقبالك,أتمنى لك المثل,Medium,positive
الله كريم يارب,الله جواد وكريم,Low,positive
تعيش وتترحم,بقيت حياً لتدعو له,Medium,neutral
الحمد لله عالسلامة,نحمد الله على سلامتك,Low,positive
طهور إن شاء الله,تطهير من الذنوب,Low,positive
ما تشوف شر,لا أصابك مكروه,Medium,positive
الشر ما يجيك,ولا أصابك,Medium,positive
قرة عينك بشوفته,سررت برؤيته,Medium,positive
عاش من شافك,طال عمرك (لمن غاب طويلاً),Medium,positive
تعيش أيامك,طالت أيامك,Medium,positive
شو هالغيبة,لماذا غبت طويلاً؟,Medium,neutral
لعله خير,عسى أن يكون خيراً,Low,neutral
اللي كاتبه الله بصير,قضاء الله نافذ,Medium,neutral
نصيب ومقسوم,قدر ونصيب,Medium,neutral
رضينا بالمقسوم,قبلنا بما قسمه الله,Medium,neutral
ارمِ ورا ظهرك,تجاهل الماضي,Medium,positive
افتح صفحة جديدة,ابدأ من جديد,Medium,positive
عفا الله عما سلف,سامح الله ما مضى,Low,positive
اللي بكذب مرة بكذب مرتين,الكاذب يعتاد الكذب,Medium,Negative
كل فولة ولها كيال,لكل شخص من يناسبه,Medium,neutral
الله يخليلك إياهم,حفظهم الله لك,Medium,positive
يحفظهم من كل شر,حماهم من السوء,Low,positive
يبعد عنهم ولاد الحرام,أبعد الله عنهم الأشرار,Medium,positive
يرزقك من حيث لا تحتسب,رزقك الله رزقاً واسعاً,Low,positive
الله يفتحها بوجهك و يعلي مراتبك,يسّر الله أمرك و رفع الله شأنك,Medium,positive
الله ينور دربك و ييسر أمورك,أضاء الله طريقك و سهل الله أمورك,Medium,positive
يسعد قلبك,أسعد الله قلبك,Medium,positive
"الله يهدي بالك , شدّة وبتزول","أراح الله بالك , ضائقة وسوف تزول",Medium,positive
يجبر بخاطرك و يعوض عليك,واساك الله وأرضاك و عوّضك الله خيراً,Medium,positive
يخلف عليك ما قصرت,أكثر الله خيرك ,Medium,positive
حوّد من السيارة جاي,انزل من السيارة إلى هنا,High,neutral
سكر الباب انكرزت,"أغلق الباب، شعرت بالبرد الشديد",High,neutral
جيب الخاشوقه,أحضر الملعقة,High,neutral
بنطلون كابوي,سروال من الجينز,Medium,neutral
مش ناقصنا وجع راس,لا نحتاج إلى المزيد من المشاكل,Low,Negative
تعال اقعد هان,تعال اجلس هنا,Medium,neutral
لا تظل تِسأل على الفاضي,لا تستمر بطرح الأسئلة بلا فائدة,Medium,Negative
حط الأغراض محلهن,ضع الأشياء في مكانها المخصص,High,neutral
لا تظل ترغي عالفاضي,لا تستمر بالثرثرة بلا فائدة,Medium,Negative
لويش بتظل ترغي,لماذا تستمر بالثرثرة؟,High,Negative
اتطّلع قدامك وانته ماشي,انظر أمامك أثناء مشيك,High,neutral
امشي دغري,امشِ بشكل مستقيم/مباشر,High,neutral
من الصُبُح بقولك قوم نظَف,أقول لك منذ الصباح: انهض ونظف,Medium,Negative
لويش مبوّز,لماذا أنت عابس؟,High,Negative
لويش بوزك طالع شبرين,لماذا تعبس بشدة؟,High,Negative
شو الهيبة يا زلمة,ما هذا الوقار يا رجل,Medium,positive
صحيت غصب عنّي,استيقظت رغماً عني,Low,Negative
تعال تعلل عندنا اليوم,تعال لنسهر معاً اليوم,High,neutral
اذا ما اجيت بنزعل منك,إذا لم تأتِ سنغضب منك,Low,neutral
خليك بحالك احسنلك,"ابقَ في شأنك (لا تتدخل)، هذا أفضل لك",Medium,Negative
غير هالسيرة يا زلمة سمّيت بدني,"غيّر هذا الموضوع يا رجل، لقد أزعجتني",Medium,Negative
الله يرحم ايام زمان,رحم الله الأيام الخوالي,Low,neutral
هات الخاشوقة من المطبخ,أحضر الملعقة من المطبخ,High,neutral
رايح اقرا,أنا ذاهب لأدرس,Medium,neutral
قربي جاي,اقتربي إلى هنا,Medium,neutral
قرّب علي جاي,اقترب إليّ هنا,Medium,neutral
مش قلتلك لا تروحش,ألم أقل لك ألا تذهب؟,Medium,neutral
عندنا طنجرة جديدة,لدينا قدر طهي جديد,Low,positive
خلصنا بَدنا نروح,"انتهينا، نريد الذهاب",Medium,neutral
انداري ابصر شو ماله,"لا أدري، لست أعلم ما خطبه",High,neutral
والله وجهك منوراليوم,ان وجهك مشرق اليوم,Low,positive
كثير معَصعِص,نحيل البنية جداً,High,Negative
زي ما بقولك,تماماً كما أقول لك,Low,neutral
انداري عنه بجوز زعلان,"لا أدري عنه، ربما هو غاضب",High,Negative
الله اعلم شو صار معه,الله يعلم ماذا حدث له,Low,neutral
بدي منك معروف صغير,أريد منك خدمة صغيرة,Low,neutral
وجهّا مثل البدر,وجهها جميل كالقمر,Medium,positive
والله إنها مليحة,أقسم أنها جيدة/جميلة,High,positive
هيني جاي اصبر علي,"أنا قادم، انتظرني قليلاً",Medium,neutral
بيجوز امُر أنا والاولاد,ربما أزوركم أنا والأبناء,Low,neutral
هاك هاي جبتلك ياها,"خذ هذه، أحضرتها لك",High,positive
جبتّا مثل ما قلتلك,أحضرتها تماماً كما طلبت مني,High,positive
عليكي قراية؟,هل عليكي واجبات مدرسية او امتحانات؟,Medium,neutral
والله إنها قوية,أقسم أنها جريئة/قوية,Low,positive
لويش ساكت ما بتحكي؟,لماذا أنت صامت ولا تتحدث؟,High,neutral
فكك من هالحشي والله مو مليح,"دعك من هذا الكلام، أقسم أنه غير جيد",High,Negative
ساوينا تشعتش عيد وكان مليح,صنعنا كعك العيد وكان لذيذاً/جيداً,High,positive
لفحنا الهوا لفح,ضربنا الهواء البارد بشدة,Medium,Negative
خال ترا الدار دارك,"يا خال، ان البيت بيتك",Medium,positive
شلونك ان شاء الله مليحة,كيف حالكِ؟ أتمنى أن تكوني بخير,Medium,positive
لا تشذب احكي الصحيح,"لا تكذب، قل الحقيقة",High,Negative
والله غير تتفضلوا عنّا اليوم,أقسم أنكم ستزوروننا اليوم رغماً عنكم (للتأكيد على الدعوة),High,positive
والله انا اللي وصلني غير هيك,أقسم أن ما سمعته مختلف عن ذلك,Low,Negative
دق المسمار بالحيط,اطرق المسمار في الحائط,Low,neutral
روح لقط اللوزات عن الشجر,اذهب واقطف حبات اللوز عن الشجرة,Medium,neutral
عَطُول لما شافني ضحك وقال أهلين,فوراً عندما رآني ضحك ورحب بي,Medium,positive
يا زلمة ريحة التراب بعد المطر بتجنّن,"يا رجل، رائحة التراب بعد المطر رائعة جداً",Low,positive
امّي نادت علينا: تعالوا تغدّوا يا أولاد,أمي نادتنا: تعالوا لتناول الغداء يا أولاد,Low,neutral
عَ راسي والله,على رأسي (أمرك مطاع),Medium,positive
عَطُول قِمت,نهضت فوراً,Medium,neutral
امبارح ضو القمر كان مالي الحوش,البارحة كان ضوء القمر يملأ الفناء,Medium,positive
ريحة القهوة عاملة جو بالدار,رائحة القهوة تضفي جواً جميلاً في المنزل,Low,positive
الدار بتظل عامرة بأهلها,المنزل يبقى مليئاً بالحياة بوجود أهله,Low,positive
هاي الدار داركم تفضلوا,"هذا البيت بيتكم، تفضلوا",Low,positive
لويش قاعد هناك تعال هون,لماذا تجلس هناك؟ تعال إلى هنا,High,neutral
روح هاتلنا اشي نشربه,اذهب وأحضر لنا شيئاً لنشربه,Medium,neutral
والله مهو عارف يساويها,أقسم أنه لا يعرف كيف يفعلها,Medium,Negative
شوفه خليه يعلمك شغلة تفيدك,"اذهب إليه، دعه يعلمك شيئاً ينفعك",Low,neutral
انزل عالحوش لقطلنا شوية عنب,انزل إلى الفناء واقطف لنا بعض العنب,High,neutral
لو زرعتلك شجرتين ثلاث هون احسن,لو زرعت شجرتين أو ثلاث هنا لكان أفضل,Low,neutral
انته الغلطان روح تأسف منه,"أنت المخطئ، اذهب واعتذر منه",Low,neutral
بوس راس جدتك يا ولد,قبّل رأس جدتك يا ولد,Low,positive
روح اقرى عندك امتحان,"اذهب وادرس، لديك امتحان",Medium,neutral
والله ابنهم نجح ونِحن مش متوقعين ينجح,ان ابنهم نجح ولم نكن نتوقع ذلك,Low,neutral
ودّي هاظ الصحن لدار عمك,خذ هذا الصحن إلى بيت عمك,Medium,neutral
شو بدك تساويلنا غدا اليوم ,ماذا ستُحضّرين لنا على الغداء اليوم,High,neutral
بسطل قد ماهو حلو,جميل جدًا / لطيف للغاية,Medium,positive
والله هُم هيك قالولي ,والله هم قالوا لي ذلك,High,neutral
مخه نظيف,شخص ذكي فطن و واعي,Medium,positive
والله منتَ تبع قراية,والله أنت لست من النوع الذي يحب الدراسة,High,Negative
والله انه زلمة مليح ,والله إنه رجل طيب,High,positive
لا تتأخر وبوجهك عالدار,لا تتأخر وتعال مباشرةً إلى المنزل,High,neutral
لا تقاطعني وأني بسولف,لا تقاطعني بينما أتحدث,Medium,Negative
مِتْشَعْبِط ع الشجرة,متسلق على الشجرة ومتمسك بها,High,neutral
الدار معجوقة عِجق,المنزل مليء بالفوضى والزحام,High,Negative
مقطوع من شجرة,وحيد ليس له أهل أو سند,Medium,Negative
يا ويلي على شقايا,يا لتعبي وشقائي,High,Negative
لويش متصربع؟,لماذا أنت في عجلة شديدة من أمرك؟,High,Negative
قاعد بتخوّث علينا,يسخر منا,Medium,Negative
والله ماني طايق حالي,أقسم أنني لا أحتمل نفسي,Low,Negative
لُزّ لغاد خليني أقعد,ابتعد قليلاً إلى هناك لأتمكن من الجلوس,High,neutral
لا تدقرش فيني,لا تحتك بي أو تتصيد أخطائي,High,Negative
فُكّنا من هالسولافة,أنهِ هذا الموضوع المزعج,Medium,neutral
مطبوش على راسه,مصاب بضربة على رأسه,High,Negative
خبزات الطابون بشهّن,خبز الطابون البلدي لذيذ جداً,High,positive
طِشّت المي عواعيه,انسكب الماء على ملابسه,High,Negative
رُدّ الباب وراك,أغلق الباب خلفك,Medium,neutral
"انداري عنك، سوّي اللي بدك ياه","لست أدري عنك، افعل ما يحلو لك",High,neutral
الزلمة مهوي وما بنرد عليه,الرجل أحمق ولا يؤخذ بكلامه,High,Negative
طحنا عالسوق اشترينا غراض,نزلنا إلى السوق واشترينا حاجيات,High,neutral
خَلّي عينك عالصغار,انتبه للأطفال وراقبهم,Medium,neutral
الزريعة بدها سقاية,النباتات المزروعة تحتاج إلى الري,Medium,neutral
لا تبحلق فيني هيتش,لا تحدق بي بهذه الطريقة,High,Negative
تِكِسْرِش بخاطره,لا تخيب أمله أو تحزنه,Medium,positive
يا مِشَحّر شو هبّبت؟,يا سيء الحظ ماذا فعلت من كوارث؟,High,Negative
فِشّ غِلّك بيه,أفرغ غضبك فيه,Medium,Negative
تِلْقِطِش حكي ع الطاير,لا تستنتج الكلام بسرعة دون فهم,Medium,Negative
وقع من عيني,سقط من نظري وفقدت احترامي له,Medium,Negative
هالدرب وعرة,هذه الطريق صعبة وغير ممهدة,High,Negative
"لا تِتْخَوّث، بحكي جَد","لا تسخر، أنا أتحدث بجدية",Medium,Negative
زتّ الغراض بالكَرّتونه,ارمِ الأشياء في الصندوق الكرتوني,Medium,neutral
فكّنا من هالسيرة الطرمة,دعنا من هذا الموضوع المزعج والمعقد,High,Negative
غَصّيت باللقمة,وقفت اللقمة في حلقي,Medium,Negative
لا تِتْدَخّل باللي ما بعنيك,لا تتدخل في شؤون غيرك,Low,Negative
شَرّق بالمي وقَحّ,اختنق بالماء أثناء الشرب وسعل,Medium,Negative
فَقّعْت مَرارتي,أغضبتني بشدة حتى كدت أنفجر,Medium,Negative
لَقّطنا حبات الزيتون عن الأرض,جمعنا حبات الزيتون المتساقطة,Medium,neutral
مَدّينا البساط بالحوش,فرشنا السجادة في فناء المنزل,Medium,neutral
دَقَرْت بالحيط,اصطدمت بالجدار,Medium,Negative
"الإشارة حَمْرا، إوْقَف","الإشارة الضوئية حمراء، توقف",Low,neutral
تعبك راحة يا خال,تعبك هو راحة لي ,Medium,positive
عاش من شافك يا زلمة,"طال عمرك، لقد اشتقنا لرؤيتك",Medium,positive
إللي كاتبه الله بصير,قضاء الله وقدره هو ما سيحدث,Low,neutral
مش ناقصنا وجع راس وطُوش,لا نحتاج لمزيد من المشاكل والمشاجرات,Medium,Negative
لا تِظَل تِسْأَل وتِلِعّ,لا تستمر بطرح الأسئلة والثرثرة,High,Negative
حُطّ الغراظ بالكِيس,ضع الأشياء في الكيس,Low,neutral
قرّبي جاي تَا أوشوِشِك,اقتربي إلى هنا لأهمس لك,High,neutral
قُلتِلّك مية مرة لا تْروحِش,أخبرتك مئة مرة ألا تذهب,Medium,Negative
"زي ما بْقولّك، رُدّ علي","افعل تماماً كما أقول لك، أطعني",Medium,neutral
بَدّي منك معروف ولا تْخَجّلني,أريد منك خدمة ولا تردني خائباً,Low,neutral
والله إنها مْليحة وبِنْت حلال,أقسم أنها فتاة جيدة وذات أصل طيب,High,positive
"هيني جاي، أُصْبُر علي دقيقة","أنا قادم، انتظرني دقيقة واحدة",Medium,neutral
جِبِتّا مثل ما إنْتَه رايد,أحضرتها تماماً كما أردت,High,positive
عليك قراية ولاّ فاضي؟,هل لديك دراسة أم أنت متفرغ؟,Medium,neutral
لويش ساكت؟ كِنّك زعلان؟,لماذا أنت صامت؟ هل أنت غاضب؟,High,neutral
"فُكّك من هالحشي، بْلا طعمة","دعك من هذا الكلام، إنه بلا فائدة",High,Negative
سَوّينا لزاقيات وكانت بتشهي,صنعنا حلوى اللزاقيات وكانت لذيذة جداً,High,positive
شْلونِك؟ عساكي مْليحة,كيف حالكِ؟ أتمنى أن تكوني بخير,Low,positive
"لا تْشَذِّب، إحكي الصَحيح طَوّالي","لا تكذب، قل الحقيقة مباشرة",High,Negative
جيرة الله تتفضلوا وتتغدوا,أقسم عليكم بالله أن تتفضلوا وتتناولوا الغداء,High,positive
روح لَقّطلنا تين عن الشجرة,اذهب واقطف التين من الشجرة,Medium,neutral
الدار عامرة بوجودكم,المنزل ممتلئ بالحياة والفرح بوجودكم,Low,positive
لويش قاعد بالشمس؟ تعال عالفيّ,لماذا تجلس تحت الشمس؟ تعال إلى الظل,High,neutral
روح هات إشي نِشْرَبُه نْبِلّ ريقنا,اذهب وأحضر شيئاً نشربه لنبلل ريقنا,Medium,neutral
والله مَهُو عارف يِدَبِّر حالُه,أقسم أنه لا يعرف كيف يتدبر أموره,Medium,Negative
شوفُه خَلّيه يِعَلّمك الصَنْعة,اذهب إليه ودعه يعلمك الحرفة,Low,neutral
"إنتَه الغلطان، روح حِبّ على راسوا","أنت المخطئ، اذهب وقبل رأسه معتذراً",Medium,positive
"روح إقرا، إمتحانك بكرا","اذهب وادرس، امتحانك غداً",Medium,neutral
ودّي هالغراظ لدار عَمّك بسُرعة,خذ هذه الأغراض لبيت عمك مسرعاً,Medium,neutral
لا تِتْدَلّع وإمشي زي الزُلُم,لا تتغنج وامشِ كالرجال,Medium,Negative
حُطّ الحصيرة عالأرض نقعد,ضع الحصيرة على الأرض لنجلس,High,neutral
هالسولافة ما بتخشش مخي,هذا الكلام لا يدخل عقلي ولا أصدقه,High,Negative
زلمة دَغْري وما بحب اللف والدوران,رجل صريح ولا يحب المراوغة,Medium,positive
مِلْتَهي بشغله وما بسأل,منشغل بعمله ولا يسأل عن أحد,Medium,neutral
طَيّح الغراض من السيارة,أنزل الأغراض من السيارة,High,neutral
الولد بِلْعَب بالطينة مْكَيِّف,الولد يلعب بالوحل ومستمتع,Medium,neutral
نَشِّف إيديك بالمنشفة,جفف يديك بالمنشفة,Low,neutral
المَيّ مَقْطوعة من يومين,المياه غير متوفرة منذ يومين,Low,Negative
ضَوّي اللوكُس نِقْعَد,أشعل المصباح الذي يعمل بالكاز لنجلس,High,neutral
التراب بَكُتّ كَتّ,التراب يسقط ويتناثر,High,neutral
قَرِّب عالصوبة تِتْدَفّى,اقترب من المدفأة لتشعر بالدفء,Low,neutral
"الدار ثلج، بَرَدْنا",المنزل شديد البرودة كالثلج,Medium,neutral
الشباك بْفَوِّت هوا,النافذة تسرب الهواء البارد,Low,neutral
سَكِّر الشِقّ بالمعجونة,أغلق الشق أو الثقب بالمعجون,Medium,Negative
السقف بِنَقِّط مَيّ,السقف يسرب قطرات الماء,Medium,Negative
تِزَحْلَقْت وَوَقَعْت عالوطاة,انزلقت وسقطت على الأرض,High,Negative
أواعيّ تِعَبّت طين,ملابسي تلطخت بالوحل,Medium,Negative
غَسِّل البوط من الطينة,اغسل الحذاء من الوحل,Low,neutral
الشارع غِرِق من الشتا,الشارع امتلأ بالماء من المطر,Low,Negative
غَيّمَت وبِدّها تِشْتي,تكاثرت الغيوم ويبدو أنها ستمطر,Low,neutral
الهوا بِطَيِّر العقل,الهواء يذهب العقل من شدة  جماله,Medium,positive
لَمِّلِم الغسيل قبل ما تشْتي,اجمع الملابس المنشورة قبل هطول المطر,Medium,neutral
خَبّا الغراض بالخزانة,أخفى الأشياء داخل الخزانة,Low,neutral
دَوِّر عليه بَلْكي لْقِيتُه,ابحث عنه لعلك تجده,Low,neutral
فَلّ وما خَلّا أَثَر,هرب ولم يترك أي أثر,Medium,neutral
الزلمة طَفَش من الدار,الرجل هرب وترك المنزل من الانزعاج,High,Negative
مِش طايق حَدّا يحكي معُه,لا يحتمل أن يتحدث معه أحد,Medium,Negative
قاعِد بْحارِش بالناس,يجلس ويستفز الناس ليفتعل شجاراً,High,Negative
بَدّور عالمشاكل دَوارة,يبحث عن المشاكل وافتعال الشجارات باستمرار,Medium,Negative
