label,text
Negative,بصراحه عجبتنى اولها واسلوب الكاتب اللذيذ ال حسسنى اى هشوف مغامراته مع الشيخ وعالم تانى ال بيحكى عنه... وبعدين بيحكى عن يوم الجمعه والبرامج التليفزيونيه والتعريف بيها منكرش انه رجعنى لذكريات حلوة ف الايام دى بس بردو فين الفايده ف انه يحكى عن التليفزيون والممثلين والموسيقى والساوند تراك لكل برنامج جاى منين...؟. فجأه لقيته قلب على فيلم ايميلى روز وطرد الارواح الشريره والقسيس وكل تفاصيل الفيلم بنفس الحكايه ال جات فيها..حتى الاب مارين زى الجزء الثالث من الفيلم اغلب المشاهد. فين الجديد؟. عاوز يقول ايه من الروايه..؟ بصراحه محستش باى متعه غير انى لقيتنى بكملها عشان مراهنه نفسى انه هيغير احداث الفيلم بس لقيته هو هو. للاسف روايه مش لذيذ خالص
Positive,تصوير مختصر ورائع لحياة قائد ومحارب عظيم كالإسكندر ... علي الوردي كان يقول بأن سر العبقرية هو تجمع المتناقضات في شخصية الفرد بطريقة يصعب فهمها وتفسير الصلة بينها .. ولهذا كان الإسكندر عبقريا من نوع فريد.. فقد امتزجت فيه نذالة الأساليب بنبل المقاصد .. والقسوة البشعة بالرحمة التي تحنو على العالم أجمع وترغب في خلق وحدة عالمية الكل فيها إخوة سواسية
Mixed,لطالما أكد باولو أن مكتوب ليس مجموعة من النصح إنه بحق مجموعة من التجارب الحياتية و الخبرات التي حتما واجهت أو ستواجه كل شخص في مسعاه الروحي .. لم أجد معظم التجارب و الخبرات جديدا بمضمونه لذات السبب الآنف الذكر لكن هذا لا يمنع أبدأ من اعتبار هذا الكتاب مساعدا حقيقيا لكل أولئك الأشخاص على الدروب الروحانية..
Mixed,حسن. مساحة الغرفة. الموقع غير معروف وتكثير فيه الجالية الهندية
Negative,جربت صب واي في الكويت وكان لذيذا جدا..رجعت الرياض واتجهت بحماس بناء عن تجربتي السابقه ولكنني تفاجات جدا الخبز مختلف وسئ ومع طلبي للتسخين تاتي السندوتشات بارده..
Mixed,فندق....في قمة الروعه فندق حلو بصراحه فيه خدمات ومرافق متكاملة وخدمات أمنيه على مستوى عال وطاقم على أعلى مستوى .. أتمنى لهم مزيد من التقدم . بس في م حظه عليهم أن يعملوا على تطوير هذا الصرح العظيم بنادي رياضي وبعض الخدمات التي تنقصه والتي من خلالها يوصل إلى مصاف الفنادق العالميه ... وشكرا
Negative,اهرب من الفندق هذا لانه حرام تضيع فيه فلوسك . لايوجد الا الموقع المطل والا باقي الخدمات والعاملين والمبنى سيئ.. تعامل الموظفين وعدم الإحترافية الفندقية المعهودة بالفنادق.اي طلب لمخدة اوبطانية تؤخذ رسوم ؟؟الفندق كئيب جدا.
Negative,آقامة جيدة . بالبداية بالجناح الملكي كنت لوحدي مافي ازعاج يصلح للعوائل محافظ جدا الحمام السباحة للآطفال استمتعوا فيه الاطفال. صار ازعاج عندما سكنوا بجانبي عائلة وكل سوالفهم اسمعها وضحكهم والواي فاي ضعيف
Mixed,في الحقيقة السرد كان اشبه بالقصص التي تعرض في المنتدايات و لم تلق اعجابي جدا لكن اقيمها /
Negative,"نجمة واحدة لطريقة السرد الجميلة فقط . رواية لإضاعة الوقت فقط ، لا تحوي على رسالة جميلة او فكرة قيمة على العكس تماما ، فهي من هذه الناحية رديئة .. قرأتها عل مضض ."
Mixed,بغض النظر عن ان اسلوب الكتابه مش عجبنى لانه يمتاز بالضعف الشديد الا ان عجبنى افكارة والمقصود من ورا المقالات دى لان فى مقالات كتيرة اوى فيها عجبتنى جدااا اهم حاجه نفهم ايه المقصود من وراها قصص انسانيه جدا اتاثرت ببعضها جدا وبعضها شفته عادى جدااا. بس عموما لا باس بها
Mixed,". السرير ، الواي فاي. اللي ما عجبني الحمام الله يكرمكم المروش خربان يطلع مويا حار بس ، الغرفه كانت بزياده صغيره يالله اصلي فيها ، الفندق مايصلح ابدا ل اثنين توهم متزوجين ، الفندق يناسب للناس العمليين اللي جايين عندهم شغل ويمشون ، وبس"
Mixed,"لقد مضى شهر تقريبا منذ أن أنهيت هذه الرواية وقد أرجأت الكتابة عنها على أنها ظلت تدور في مخيلتي بين المرغوب به والمرغوب عنه.. أحداث الحكاية الخارجية بسيطة تدور في يوم واحد من الزمن تكثف لحظاته عبر التذكر والعودة إلى الوراء وقد شعرت بأن هذا الشكل أكثر أناقة من الموضوع، الموضوع الذي ولا شك قد أعلى من أسهم الرواية إذ لا زلنا نعيش في عالم يتهافت لكتاب يتناول العلاقات الجسدية على تنوعها ويفتح لمؤلفه أبوابا كادت تغلق للأبد، وفي رأيي لا يشفع لها التحدث عن واقعية القصة وأنها كانت محض ساعي بريد قد أوصل هذه الرسالة السرية لعوالم الرواية والقراء، كان بوسعها أن تدافع عن أحقيتها كروائية بتناول هذا الموضوع الشائك وانتهى الأمر . تثير هذه الرواية القرف الحميد جراء وصف المشاهد الجنسية أو وصف الفقر والبؤس ويكاد يرسم صورة ممتازة في مخيلة القارئ وهذا يسجل لها.. لكنها وبرغم كل الدقة التي توختها وكل المهارة في وصف المطارادت والليالي والخطوات عجزت أن توصلني لاستنشاق رائحة القرفة فقد ابتذلتها لدرجة كبيرة، وكأنما قد أودعت مهارتها في التفاصيل الأخرى ووصلته منهكة القوى.. لم يخالجني شعور بالندم بعد إنجاز القراءة لكنها كانت صعبة وقد غالبت نفسي لأكمل صفحات معينة، رواية جميلة في نهاية الأمر تفتح باب التساؤل التالي:. ماذا سنجد لدى سمر لاحقا؟"
Positive,أول ما تكمل الرواية .. تنتابك رغبة ملحة أنك تذهب تقبل أمك. و تعتذر عن كل الحماقات التي قمت بها. و تشعر بالامتنان أنها موجودة ..
Positive,"كتاب مفيد جدا، وموجز ومركز .. وقد كفتني المراجعات الأخرى ذكر موضوعه وعما يتحدث .. لكن لا يفوتني ذكر ثلاثة أمور:. أولا: وجدت أن من سلبيات الكتاب: عدم ذكره المراجع ومصادر المعلومات التي يذكرها والأقوال التي ينسبها، فلم أجد في الصفحات هوامش بذلك، ولا في نهاية الكتاب ثبتا بالمراجع .. وأتمنى أن يستدرك هذا في طبعات أخرى. ثانيا: لا شك أنني أختلف مع الدكتور عمرو شريف في إيمانه بنظروية داروين بعد تعديلها إلى مفهوم التطور الموجه أو التطوير الإلهي .. وأرى أن محاولته ومن نحا نحوه التوفيق بين تلك النظرية الكفرية وبين الوحي المعصوم قرآنا وسنة = هي محاولة فاشلة يحرف فيها القرآن تحريف معنى باسم التأويل ، وهو من سنن اليهود والنصارى في تحريف كتبهم وتكذب فيها السنة الصحيحة وترد جهرا .. وهذا من الضلال المبين. ومفيد في هذا الجانب قراءة كتاب:. الداروينية المتأسلمة. وهو كتاب قيم صغير الحجم، للأستاذ عمرو عبد العزيز .. ويناقش فيه منهج الدكتور وأقرانه في أسلمة تلك النظرية الكفرية، والخلل في منهجهم ذلك. ثالثا: عند ذكر المؤلف لنشأة الإلحاد في العالم الإسلامي، ذكر أن أحد أسباب نشأته هو شيوع النزعة المادية التي تمجد العقل وترفعه فوق قدره، وقد نشأت تلك النزعة نتيجة لانتشار الثقافة اليونانية مع حركة الترجمة في القرن الرابع الهجري ... ومن المعروف عندي أن أصحاب تلك النزعة هم المعتزلة. ثم عاد المؤلف ليقول أن خير من تصدى لشيوع الأفكار الإلحادية هم المعتزلة أصحاب المدرسة العقلية في الفكر الإسلامي .. وهنا موضع العجب"
Negative,لا يوجد اي خدمة . لا شي. كل شي
Negative,يعتبر كمرجع لا يقرأ من أوله الى اخره. النجمتين لخطة القراءة للاطفال فقط..به اقتراحات لكثير من الكتب الجيدة
Negative,سيئه لا انصح به ابدا معامله سيئه . خدمه سيئه وتعامل سيء.
Mixed,عمق الكلمات وتناغم المعاني
Negative,من اسواء رحلاتي الى المتجعات . الافطارجيد والسرير جيد. المطعم بعيد يوجد الكثير من حركه السيارات المطاعم سيءه جدا وغاليه السعر بدون مبرر ولاتقدم طعام متنوع الخدمات غاليه الجي تي سكي يسبب الإزعاج للزوار بالاقتراب من الفلل الطاقم المسؤول عن الخدمات غير متعاون اداره الاستقبال لاتقدم النصيحه وليس لديها ألطريقه الصحيحه للخدمة والاستقبال
Positive,اعجبني . يجود باص يأخذك للحرم في كل صلاة مجانا خدمة رائعة.
Positive,كتاب ثري ما يميز هذه السلسلة هي أنه لا يقص السيرة بل الصفات والجوانب المختلفة من الشخصية.. عمر في بيته عمر كسياسي عمر كمثقف وغيرها.. لا أخفي أنني أحببت عمر رضي الله عنه أكثر بعد هذا الكتاب.. قرأت نصفه قبل عام والان أكملت نصفه الاخر. لكن ذلك لم يضر إذ أن كل فصل فيه مستقل بذاته عن باقي الفصول.. ... أنصح به بعد عبقرية محمد وسأكمل بقية عبقرياته إن شاء الله.
Negative,مخيب للأمل. . الموقع المواقف قليله جداانسداد حنفية المغسلة كانت الليله ب بدون افذار وتعتبر غاليه جدا حسب موقعه وخدماته ومبناه القديم
Negative,نجمة للغة التى صيغت بها الرسائل. ونجمه اخرى لبعض محتواها
Positive,الكتاب به بعض المخالفات الشرعية ؛لكنه فى المجمل صادق و موجع جدا بداية بالمقدمة الغير عادية و كل اليوميات بالكتاب ؛ أول كتاب اقرأه كاملا لنزار و لست اظنه الأخير فقد عبر عن المرأة بأفضل ما تعبر هى عن نفسها
Negative,كتاب جيد ممل نوعا ما. كان ممكن يعرض المحتوى بطريقة أجمل. عموما جميل أنه تطرق لموضوع التعليم بالبلاد العربية والابداع
Negative,ما لاحظته أن المحطات التي وقف عليها الكاتب لم تتغير رغم أنه زارها منذ ما يزيد عن أربعين سنة
Negative,حاجه مؤرفه . ولا شيء. كل شيء
Positive,حبيتها جدا لأنها زي كده رباعيات صلاح جاهين في جمالها والكلام اللي يبان بسيط لكنه أبدا مش بسيط .. ولو اتقرا مية مرة مش هتزهق منه. عجبتني:. نعيش زي الفلاسفة تعساء. ونحاول نفهم الفولة. واللا خلينا كده. بلهاء .. سعداء. بالدنيا المجهولة .؟. . حبة هوا. طيروا الورق كله. ياللا مش مهم. هوا ايه إللي كان في الورق. أحلي من الهوا .؟. . غرقانين..؟؟ . وإيه يعني غرقانين ... حتي فرصة نعيش مع السمك .. هاديين... بلا مشاكل ... بلا خناقات... بلا بواخة بني آدمين. . . مات من الضحك. وفارق الحياه. مع إنها كانت نكتة. مش عاجباه . . وزي ما نمنا. زي ما صحينا. جرادل طحينة. واقعة علي جرادل طحينة. كلنا واقعين. من بعض... علي بعضينا . . لا مش انا اللي أبكي. ولا أنا اللي احكي. ولا انا اللي اشكي. ولا حتي اللي اتفلق. أنا اللي باضحك لغاية. ما بتخنق . . إيه قيمة أبقس حصان جميل. بس مربوط. أو نسر عظيم محنط.. محطوط. لا يا عم .. خليني زي ما انا. قرد مجهول.. بس مبسوط
Mixed,مفهمتش النهاية خالص : . يعنى كدة الراجل اللى فى الاخر كان بيعملهم سحر اسمر فعلا وهى البت دى اللى هى بتاعة برج الحوت اتجننت : . ولا ايه يعنى ؟. طب فعلا مفيش ايمان بالابراج بس ازاى كلهم ماتوا بسبب الابراج . مش فاهمة : . والاخيرة بتاعة برج الحوت مصيرها ايه ؟ . انا باكره النهايات المفتوحة. انا عندى النهاية تبقى ماساوية احسن مرة من انها تبقى مفتوحة :
Negative,"من الروايات اللي كنت عايزة اخلصها لمجرد اني اخلصها ومش علشان شداني ولا معجبة بيها . شخصية القاتل كانت واضحة جدا ومعظم الأحداث رغم اني مش نبيهة اوي كانت متوقعة بشكل يخلي الرواية مملة من كتر ما الموضوع بديهي وواضح. في شوية تناقضات في الاحداث وده تقريبا علشان الرواية مترجعت كويس ده غير ان الكاتب بيكشف عن شخصية القاتل في الفصل اللي قبل الاخير وده حاجة بعتبره عيب في النوع ده من الروايات لأنها اكيد كانت هتكون احسن لو أتأخرت شوية، الوراية ناقصها عناصر كتير لكن مجهود الكاتب اكيد يشكر عليه... شكرا لعمرو الجندي"
Mixed,حسن. . عدم احترام النزيل وقيام موظف الاستقبال من الجنسية المصريه بالتلفظ ورفع الصوت وتشغيل الموسيقى وعدم الانصياع للنصيحه
Mixed,حسن. بشاشة الموظفين فقط وغير ذلك كله سيء . رائحة الممرات سيئة إفطار لايليق بفنادق ماريوت أثاث قديم ورق جدران مفكك ستارة سيئة لاتعمل بإختصار فندق لايليق به حمل أسم ماريوت
Mixed,الكتاب الرابع الذي أقرأه لبثينة العيسي. تقريبا فاضلي كتابين واخلص كل كتبها. هو اول كتاب لها فمن الطبيعي ان يكون الاقل في المستوى. العنوان هو اجمل مافي الرواية. الغلاف لا يعبر اطلاقا عن محتوى الرواية. القصة عادية جدا فتاة كويتية تقع في حب رجل بدون. فكرة كان تناولها في رواية ساق المامبو اكثر عمقا واكثر تأثيرا. تحليل قضية البدون في الكويت ومنه مباشرة الى تحليل معنى الوطن. الى تحليل مأساة العرب منه الى وضع العرب في العالم. منه الى الكثير من الامور من وجهة نظر الكاتبة في رواية من صفحة. اللغة مدهشة اجمل مافي هذه الرواية واجمل ما في بثينة لغتها. الرمزية في المواقف واسماء الابطال ومعنى الاحداث كان موفق. كنت انتظر رواية اكثر عمق واحداث اكثر تشابكا. ولكنها تبقى في النهاية احدى كاتباتي المفضلات بثينة العيسى
Negative,خدمات دونى المستوى . . الخدامات غير مناسبة ولا ترقى لأسم الفندق
Negative,مخيب للأمل. . صوت المكيف
Mixed,عمري ماهنسا سيجارة فشل الحمار. او الاستاذ الاعمي
Positive,جيد. . وسائد النوم لم تكن مريحة
Positive,تفسير عصري بالفعل. يجعلك تنظر للأيات التى قرأتها مرارا بصورة جديدة وتفكر فيها بطريقة مختلفة بعد قراءة هذا الكتاب
Mixed,"إستغرقتني قراءة هذه القصة حوالي ساعات، و بصراحة لست نادما أبدا، فكل ثانية تستحق عن جدارة أن أقضيها للنفاذ من هذه الرواية المذهلة. أمتعني أسلوب الأستاذ أحمد خالد توفيق كثيرا في سرد الأحداث، عدا تلك المعلومات الشيقة عما جرى في مصر و يمكن أن يستمر حدوثه في المستقبل. بغض النظر عن النهاية التي يمكن أن تكون حزينة للبعض، و لكني أراه مناسبة جدا لمجريات الأحداث في القصة كلها. في نفس الوقت، لا أنصح أحدا أن يقرأ هذه الرواية إذا كان من هواة النهايات السعيدة"
Positive,ممتاز. منظر المضمار رائع. تسريب الماء من حوض الاستحمام .. عند مفتاح التصريف
Negative,رواية جميلة. عشت معها بكل جوراحي. حتى بعد أن أتممتها لبثت حينا أفكر بها. أحببتها . لكن النهاية كانت سبب في تقييمي بنجمتين فقط
Mixed,"الرواية من النوع الخفيف، التي ما أن تبدأ بقراءتها حتى تتركها وقد أنهيت قراءتها دفعة واحدة.. يحسب للمؤلف عدم إثقال الرواية بالتشبيهات والجمل الأدبية الخالصة وعدم ا كثار من ذكر التفاصيل التي تشتت القارئ أيضا.. أعتقد أنها تناسب من أعمارهم دون العشرين.. الرواية بشكل عام لم أندم على قراءتها مطلقا."
Positive,رائعه ومريحه جدا جدا . الشقق فسيحه وذات اطلاله جميله ووجود شرفه ذات موقع مميز بالشقه وطاقم الموظفين ودودين ومحترمين وخدمتهم سريعه جدا جدا ووجود مطاعم وكافيهات وممشى يمكن الوصول اليه بسهوله يعني الشقه باختصار ممتازه من جميع النواحي. لايوجد
Mixed,كعادتى مع روايات د.يوسف زيدان. لكنى لى عتب بسيط فأنا أشعر أنها ربما روايه لم تكتمل أو كتاب لوصف الأنثى لم يكتمل. وضعنى الكتاب بكثير من التشويش. لكن بالمجمل إستفدت منه من ملومات لم أكن أعرفها مسبقا
Positive,تجربة فيمه . موقع ونظافه واستقبال .قمه في الروعه. لاشي
Negative,ضعيف. . انقطاع الماء وضعف كميه الماءعدم وجود اواني للطبخ عدم النظافه
Positive,ممتاز وخرافي . الفندق هادي جدا ويستحق الزياره مره اخرى.
Negative,عادي . . خدمة الغرف سيئة جدا جدا
Negative,"انا من اعيش في لبنان تداعيات تلك الاحداث او الحرب الاهلية او ليكن اسمها ما يكون في. المجتمع اللبناني، وان كنت لا اخالف امين معلوف ببعض افكاره التي طرحها ما بين السطور. الا اني لم استمتع بالرواية ، كما فعلت في روايته سمرقند وليون الافريقي. تناولت الرواية موضوع الهوية والغربة والحرب الاهلية وتداعياتها على شباب المجتمع اللبناني. وانقسام الشباب بين باق في البلد ومهاجر منه. وان كانت الهجرة صعبة فالعودة اصعب وخاصة للم الشمل"
Mixed,"وتتوالى صدماتى ف الروايات التى تضمها القائمة القصيرة لجائزة البوكر ،، فبعد صدمتى من قراءة رواية فرانكشتاين ف بغداد وعلمى بوصولها إلى القائمة القصيرة ، تكررت صدمتى مرة آخرى فى رواية طائر ازرق نادر يحلق معى وإن كانت اقل من سابقتها .. الرواية مبنية ع موضوع حيوى وهام ألا وهو معاناة المحبوسين ف السجون المغربية متمثلة ف عزيز الذى القى القبض عليه واتهامه بمحاولة قصف طائرة الملك وإلقائه ف السجون لمدة تزيد عن عاما بعيدا عن زوجته التى تحاول ع مر الرواية البحث عنه .. بالرغم من اهمية الفكرة الرئيسية للرواية إلا ان الكاتب لم يتمكن من معالجتها بشكل ادبى جيد ،، لا انكر ان اسلوب الحكاء اعجبنى ، فلم يقتصر السرد ع لسان عزيز او زوجته فقط بل امتد إلى لسان السجان ورفيقه بل ولسان كلبة الحراسة ايضا ولكن شعرت بالملل كثيرا نتيجة الاطالة ف بعض الاجزاء دون داع لها ، كما ان الكاتب لم يتمكن من جعل الرواية عمل روائى بحت او عمل ينحدر تحت بند ادب السجون فوقع ف خطأ محاولة التوفيق بين هذا وذاك ولكنه فشل من وجهة نظرى .. الرواية ف مجملها العام جيد ولكنها ليست بالجودة التى تؤهلها لجائزة البوكر .. ملحوظة : لمن يقرر قراءة تلك الرواية ستشعر ف اليدء بملل قاتل ولكن بمجرد الانغماس ف التفاصيل ستتناسى ذلك وإن كان هناك اطالة بعض الشئ ف عدد من الفصول دون داع لها ع الاطلاق"
Mixed,قصة حزينة جدا وفي ثنايها احداث تعزف على اوتار حساسة لمايواجه الانسان في عصرنا لم اتوقع نهاية الحزينة لعصام
Negative,غلطة العمر . المنظر العام واليحر. خدمه التوصيل وسوء معامله العمال.والتاخير في اداء الخدمه .الديكور والاثاث غير لائق بفندق نجوم المسبح وعدم تغيير الماء..رائحه الغرف والحشرات
Mixed,في هذا الكتاب ستعرف سبب قول الله عز و جل لعن الذين كفروا من بني اسرائيل علي لسان داود و عيسي بن مريم . كتاب يفضح الخطط الدنيئة للصهاينة و يوضح للاسف مدي انجراف الحكومات الحالية لخططهم دون علم. من البروتوكولات تستطيع تفسير الثورات والانقلابات و الخيانات و الجواسيس و العداوات التي تغطي الصداقات السرية. تجد اليهودي يري الأممين علي انهم حيوانات يتقرب الي ربه بقتلهم و ذلهم و سرقتهم. . المقدمة طويلة الي قدر كبير و لكن مهمة لكن ليس بالقدر الذي يستدعي هذا الاسهاب. ترجمةالبروتوكولات شعرت بأن لغتها صعبة بطريقة كبيرة. الحواشي كثيرة جدا لكن يمكن امرارها من باب الامانة العلمية. لكن. كتاب خطير
Positive,استثنائي. كل شي رائع. لا شيئ
Positive,قمر فضولي على الاطلال. يضحك كالغبي. فلا تصدق أنه يدنو لكي يستقبلك. هو في وظيفته القديمة مثل اذار الجديد. أعاد للأشجار اسماء الحنين. واهملك
Mixed,"جيد لكنه يحتاج لبعض المزيد. الفندق ممتاز لرحلات العمل. غرفة نظيفة، يتميز بالسرعة في عمل اجراءات الوصول والمغادرة، خدمة إنترنت جيدة في الغرف، خدمة احترافية، إلخ. أما اذا كنت تنتوي المكوث فيه مع عائلتك، فهو يحتاج لكثير من التحسينات. على سبيل امثال، وجبة الإفطار يجب أن تكون متنوعة أكثر؛ والمراحيض ودورات المياة يجب أن تصمم بطريقة بحيث يكون لكل منهم باب دخول منفصل؛ يجب أن تتوافر شبكة الواي فاي في كل غرفة لشخصين، توفير معلومات عامة عنالمطاعم المحيطة، إلخ. وبشكل عام، هو مكان جيد للإقامة إذا كنت لا تنتظر الكثير."
Negative,"لو كان ينفع اديها ربع نجمة كنت عملتها ، نادمة جد على الفلوس والوقت اللي ضاعوا عليها :"
Positive,كبداية للكاتب. رواية جميلة جدا بعيدة كل البعد. عن الملل اسلوب راقي جدا. مشوقة جدا انصح الجميع بقرائتها. وبانتظار جديد الكاتب
Mixed,فاذا لم نحقق الكمال النهائي اذا ماغدت الامور أسوء من ذي قبل اذا ماعجزت الحقيقة عن الشموخ بقامتها فوق نصف الحقيقة إذا ماثبت أن الصامتين على حق كحراس للوجود وإذا ما ماتداعى الامل الواهن الذي لا يزال يداعبنا مفسحا السبيل للصمت المطلق فإن المحاولةتظل جديرة باجتراحها حيث أنك لا ترغب في العيش على نحو ما انت مجبر على ان تحيا طيب اذن لم توجع اللوم إلى الآخرين لالتزامهم الصمت فيما تظل صامتا بدورك؟
Positive,مكان رائع . كل شيئ. لاشيئ
Negative,"أسوا فندق يمكن أن تجده لا تقم هنا. خدمة سيئة للغاية بما في ذلك الإفطار الذي كان مهزلة حيث لم يكن هناك أي احترام، والموظفين يتعاملون بفظاظة، ولا يوجد أي شيء يقدم مجانا. بل وسيتعين عليك شراء الشامبو الخاص بك، ويتقاضون منك مبلغا باهظا نظير استخدام الإنترنت الذي هو أبطأ من الاتصال بالإنترنت عبر الهاتف. خلاصة الأمر تجنبه إذا استطعت"
Mixed,"ثلاثة من عشرة . قربه من الحرم. استاجرت جناح تنفيذي وفوجئت بكون التكييف عطلان يشتغل ساعة ويخرب، كلمتهم اكثر من عشر مرات كل مره يحي المهندس يصلحه وبعد ساعه يخرب رفضو يغيرون الجناح التعامل سيء جدا من موظفين الاستقبال وكاني ساكن بالمجان قمة الاهانه اخر مرة اسكن واوصي الجميع بعدم السكن"
Mixed,انها محاولة جيده لمزج فن الشعر والرواية .. لغة قوية محكمة .. لكن الرواية لها ابعاد اخري لم يتناولها الكاتب وهي نمو الشخصيات خلال الأحداث الحبكة ولكنه عمل جيد يستحق القراءة
Negative,ضعيف. لاشيء. رائحة مدخل الشقق رائحة أكل .. الأثاث قديم والتلفزيون مرتفع جدا .. الواي فاي ضعيف جدا ..
Mixed,كتاب لطيف بالنسبة لي عامل زي المقبلات او فواتح الشهية : بين الروايات الدسمة بس مش واقعي اوي. بس انا مستغربة لاني قرات من سنتين يوميات زيها كده بالظبط مع اضافات بسيطة بس التفاصيل زي ما هي بالظبط وبردوا كان اسمهم عمر وسارة. بس كان اسم الكاتبة واحدة تانية.
Negative,كتاب مفيد لكن لكن لعمر مراهقة فقط ومعلومات مكررة جدا بكتب سابقة أجمل فكرة هي. لايدخل الشيطان قلبك إلا إذا دعوته أنت وفتحت له الباب
Negative,"خفيف متنوع يحمل اوراقا جميلة، الا انه ممل نوعا ما لتكرر الافكار بين صفحاتة"
Mixed,كتاب لطيف يجمع عدة مقالات للكاتب احمد خالد توفيق. المقالات بعضها فيه تكرار لدرجة ملفتة للنظر مما أصابني ببعض الملل. و البعض الاخر جذاب للغاية و ملئ بالمعلومات المفيدة فعلا. في المجمل كتاب جيد و ان كان ليس بأفضل كتب د. احمد
Mixed,مقبول. . الاثاث قديم وديكور مزعج وقديم
Mixed,السعر لفندق نجمتين مرتفع . موظفه الاستقبال تعاملها جيد المواقف متوفرهالانترنت متوفر. سعر الفندق مرتفع مع انه نجمتين
Positive,يعني احمد مطر ظاهره بصراحه يعني نجمات قليله بحق هذه المجموعه
Negative,"جيد ويصلح كمدخل للمبتدئين، ويعيبه اعتماده على مصدر واحد فقط من الكتب، ولايحلل إنما يعرض الخطوط العامة لآراء بعض المفكرين ولكن أحيانا بتبسيط مخل"
Positive,ممتاز جدا . كل شي كان ممتاز والافطار من افضل الفنادق التي سكنتها. الخروج الساعه الظهر واذا كلمتهم قالو لك الى الساعه الواحده فقط والفنادق الاخرى الى بعد صلاة العصر
Positive,رائع. الفندق مريح جدا وعائلي. لا يوجد
Negative,سيء . لاشيء. ازعاج بالغرفه المجاورة والشقه ضيقة زيارة لن تتكرر
Mixed,"متوسط الحجم. رواية تحكي سطوة الحضور الذكوري على الأنثوي. خاصة عندما يكون مدعوما من الأناث أنفسهن لسبب واحد فقط أنه ذكر و خاصة عندما لا يمتلك ذلك الذكر مقومات السيادة ... لم أحب أبدا تبادل الرواة فيها، و لا كثرتهم المبالغ فيها ، مع ذلك، لم يسلبني ذلك الاستمتاع بتسلسل الأحداث ... برأي بدأت الكاتبة الرواية ببساطة تعبير يحاكي براءة أحداث الرواية، ثم أصبحت تنضج أكثر بالمفردات والتشبيهات مع نهايتها .. أحببت ذلك"
Negative,ضعيف. التكييف. ا فطار سيئ . الشاي والشبشب مو موجده لاازم تطلبهاالسرير مكسور .عشان تسوي دخول لاازم تمر مكتب حجوزات بعدين أستقبالالقيمة مقارنتا بالخدمات
Negative,اختيار غير موفق . . زحمة على المصاعد .. أيام بلا تنظيف للغرف .. الكهرباء فالغرفة ضعيفه او لا تعمل .. المكان على صعده لايصلح لكبار السن .. سيء
Negative,شاورمر كان من أفضل المطاعم السريعة عندي وكان يعجبني فيهم تنوع الشاورما عندهم لكن اليوم جتني صدمة وأنا أكل تنوري تخيلوا لقيت شعره قاسية والله تقرفت قمة الوساخة
Negative,نجمتين علشان الفكرة .. غير كده تقريبا باقي الرواية مواعظ مردتش على الاسئلة اللي طرحها الكاتب في مقدمة الكتاب ولا حتى قرب من الرد
Mixed,حكاية جميلة لغربية تصور اندماجها في حياة البادية .. ربما الخطأ الوحيد هو ان تقرأ الكتاب بترجمة عربية .. فلم تكن الترجمة بتلك القوة
Negative,هل من المعقول ان تتدنى ذائقة مؤسسة زايد لتصبح هذه الرواية ضمن قائمتها ؟
Negative,ضعيف. . خدمة سيئة وتعامل رديء وغير نظيف
Mixed,"من أروع الروايات التي قرأتها واستفدت منها ،الكاتب يحملك إلى الجهة المقابلة من العالم إلى نيوزيلاندا حيث كان يتلقى العلم هناك، سرد وقائع وأحداث عايشهابنفسه ونقلها لنا بأسلوب قصصي ماتع"
Mixed,مرضي. الافطار مجاني ممتاز بس المكان مفتوح و لا يصلح للعوائل المحافظة. حارس امن للمواقف
Negative,رائع لولا بعض الشطحات الصوفية
Mixed,"أحب الروايات التي تنقلني إلى عالم آخر لا أعرف شيئا عنه. أحسست أنني عشت ثلاثة أيام في واحة سيوة، هي المدة التي استغرقتني قراءة هذه الرواية. أحببت أسلوب تسليم الشخصيات مهمة رواية القصة ليصبحوا رواتها وأبطالها، وهي أول رواية أقرأها بهذا الأسلوب.. لا أستطيع تصنيفها من الروائع، ربما لأني كنت أتوقع الكثير. ولأنني لا أحب الروايات التي تتنتهي بالانتحار أو محاولة ارتكابه، وأعد اللجوء لهذه الوسيلة ضعف حيلة وتمنع إنهاء الأحداث بطريقة منطقية. وربما لهذا نفرت في الآونة الأخيرة من قراءة روايات الأدب العربي حتى فتحت شهيتي من جديد رواية عزازيل وأفضت بي إل رواية الكاتب بهاء طاهر."
Mixed,شعراء كبار رغم سنهم الصغير : . كل نص كان بيخليني اتعجب ان المعني دا يطلع من طفل .. جميلة جدا التجرية دي
Mixed,اقامة لمدة يوم فقط. . المستوى العام مقبول..
Negative,في كلام كتير قذر :/. ما انصحش حد يقرأه .. بيقدم مضمون حلو بس شوهه
Positive,استثنائي. النظافه التكييف الهدوء قربه من الحرم النبوي. الافطار غير متنوع وماهو على القيمة اللي اندفعت توقعت يكون اكثر تنوع وارفع مستوى المواقف جدا تعبنا وحنا ندور مواقف بكل مره نطلع فيها اتمنى يوفرون مواقف لجميع النزلاء
Positive,رائعة بهاء طاهر.
Mixed,"كتاب بسيط لا بأس به ، شعرت وكأن صديقتي تقص علي تجربتها ،أعجبني ولكن ضايقتني الفصحي التي تتخلل العامية التي تغلب علي الكتاب ."
