id,text,dialect,sentiment,confidence
326,"ما في حدا بالبيت حكاني اليوم، حاسس بوحدة",ammani,negative,high
327,"رحت الحلاق وما عجبني شكل الشعر، بس سكت",ammani,negative,medium
328,"التطبيق وقف وأنا عم أدفع، وما عرفت إذا نفذ الدفع",ammani,negative,medium
329,"المقابلة مشت مش تمام، حاسس ما رح ياخذوني",ammani,negative,high
330,المدير طلب تعديلات كتيرة آخر لحظة على الملف,ammani,negative,high
331,اليوم حاسس ما في شي ماشي تمام,ammani,negative,high
332,كل ما بدي أوفر بجي مصروف ما توقعته,ammani,negative,high
333,"ما لقيت موقف بمجمع كامل، لففت ربع ساعة",ammani,negative,medium
334,الضغط هالأيام كتير وما في وقت لنفسي خالص,ammani,negative,medium
335,"رحت على الصراف وكان معطل، اضطريت أمشي لغيره",ammani,negative,high
336,طلبت تحويل من الشغل وما وافقوا بدون سبب واضح,ammani,negative,high
337,الفاتورة جاءت على أكتر من المتفق عليه,ammani,negative,high
338,"ما عرفت أنام لما سمعت الخبر، ليل صعب",ammani,negative,high
339,الدوا عمل عندي أعراض جانبية ما توقعتها,ammani,negative,high
340,صاحبتي زعلت مني بدون سبب واضح وما بده تحكي,ammani,negative,low
341,اليوم كان في دوامة ما خلصت من الصبح للمسا,ammani,negative,high
342,ضاع مني شي مهم بالزحمة ولسا ما لقيته,ammani,negative,high
343,"خبر زعل سمعته اليوم، يوم مو كويس",ammani,negative,high
344,الأسعار اللي على الموقع مش نفسها بالمحل,ammani,negative,low
345,وصلت متأخر على الحفلة وكانت خلصت,ammani,negative,high
346,البنك بعث برسالة مو مفهومة وما قدرت أتواصل معهم,ammani,negative,high
347,ما في كهربا من ثلاث ساعات وما في معلومة متى برجع,ammani,negative,medium
348,الجهاز الجديد وقف من أول يوم استخدمته,ammani,negative,low
349,طلع خطأ بالمعاملة بعد ما انتظرت ساعتين,ammani,negative,medium
350,بدي أروح أجدد رخصة السير الأسبوع الجاي,ammani,neutral,high
351,شو رأيكم بمطعم ماكس قرب الجامعة؟,ammani,neutral,high
352,"باجي على وسط البلد بعد الدوام، في شغلات بدي أخلصها",ammani,neutral,high
353,"بفكر أسجل بدورة برمجة، شو بتنصحوني",ammani,neutral,high
354,"الأسبوع الجاي بدي أرتب غرفتي، صارت تحتاج تنظيم",ammani,neutral,high
355,"في عرض شغل وصلني، بفكر إذا يستاهل أتقدم",ammani,neutral,high
356,سمعت إن في ازدحام كتير على جسر الملك حسين,ammani,neutral,medium
357,الجامعة بتعيد افتتاح المكتبة بعد تجديدها الأسبوع الجاي,ammani,neutral,medium
358,"بدي أغير مزود الانترنت، في أحسن من اورنج؟",ammani,neutral,high
359,صاحبي بيسألني شو الأوراق المطلوبة للتسجيل بالدوائر,ammani,neutral,low
360,"الحمل بعمان صعب بدون سيارة، كل شي بعيد",ammani,neutral,high
361,"بقرأ كتير عن السوق الوظيفي هالأيام، بحاول أفهم",ammani,neutral,high
362,لازم أروح أشتري أغراض الشتا قبل ما يجي,ammani,neutral,high
363,مين جرب مطعم حوارة الجديد على الرابية؟,ammani,neutral,high
364,"بدي أحط روتين صبح منتظم، بس صعب أصحى بدري",ammani,neutral,medium
365,"كل سنة نفس السؤال، وين نقضي العيد",ammani,neutral,high
366,"في ناس بتشتغل من البيت وناس لازم تروح، شو أحسن",ammani,neutral,medium
367,"الشتا وصل لعمان، لازم أطلع أشتري دفاية",ammani,neutral,low
368,رح أحاول أحجز تذكرة بدري قبل ما ترتفع الأسعار,ammani,neutral,high
369,بحتاج أروح دكتور أسنان من فترة بس دايما بأجل,ammani,neutral,medium
370,الحي اللي أنا فيه هادي بس ما فيه محلات كتير,ammani,neutral,medium
371,"بعمان محلات الكتب مو كتير، لسا بفضل أشتري أونلاين",ammani,neutral,high
372,شو الفرق بين كمبيوتر الماك والويندوز برأيكم,ammani,neutral,high
373,كل ما أشوف إعلان سفر بفكر إني بدي أسافر,ammani,neutral,high
374,بيت الطالب بالجامعة صار مو كافي لعدد الطلاب,ammani,neutral,high
375,اليوم بدي أطبخ شي جديد ما جربته قبل,ammani,neutral,high
376,"بفكر أبدأ رياضة المشي، بس بدي رفيق",ammani,neutral,high
377,"صاحبي رح يتزوج الربيع الجاي، لازم نجهز",ammani,neutral,high
378,الدراسة بالخارج حلم بس المصاري حاجز,ammani,neutral,high
379,ما عارف وين أحجز ميكانيكي كويس بعمان,ammani,neutral,high
380,الشارع الجديد اللي فتحوه خفف الأزمة شوي,ammani,neutral,medium
381,مين عنده تجربة مع بنك الاتحاد؟,ammani,neutral,high
382,"بفكر أعمل مشروع صغير من البيت، بس لسا بدور على الفكرة",ammani,neutral,high
383,كل ما بصحى الصبح بحتاج قهوتين على الأقل,ammani,neutral,high
384,الجيران الجدد ما قدرت أتعرف عليهم لسا,ammani,neutral,high
385,رح نحتاج نشتري أثاث جديد للبيت قريبا,ammani,neutral,high
386,"البيت الجديد قريب من الشغل، هاد أهم شي",ammani,neutral,high
387,ما عارف كيف بدي أوزع وقتي بين الشغل والدراسة,ammani,neutral,high
388,لازم أجدد تأمين السيارة الشهر الجاي,ammani,neutral,high
389,سمعت إن في معرض للسيارات هالأسبوع بعمان,ammani,neutral,high
390,في مقهى جديد بالويبدة كتير ناس بتحكي عنه,ammani,neutral,high
391,"بدي أبدأ أوفر بشكل منتظم، بس صعب",ammani,neutral,high
392,رح أغير شغلي إذا لقيت فرصة أحسن بنفس التخصص,ammani,neutral,medium
393,الباص السريع وصل لمناطق جديدة هالسنة,ammani,neutral,high
394,بفكر أعمل صفحة أونلاين لبيع شغلات مدزعة,ammani,neutral,high
395,صاحبي بيدرس محاسبة وبيسألني عن فرص الشغل,ammani,neutral,medium
396,"كل نهاية أسبوع نفس السؤال، شو رح نعمل",ammani,neutral,high
397,لازم أروح أعمل فحص دوري للسيارة,ammani,neutral,medium
398,"بدي أحسن مستوى عربيتي المكتوبة، مو مناح كتير",ammani,neutral,high
399,بعمان ما عندك خيار إلا السيارة الخاصة للتنقل,ammani,neutral,high
400,الجامعة غيرت توقيت بعض المحاضرات هالترم,ammani,neutral,high
401,سمعت إن في نظام جديد للمواعيد بالمستشفى الحكومي,ammani,neutral,high
402,"صاحبتي بتفكر تتقدم على وظيفة ببره، شو رأيكم",ammani,neutral,high
403,بدي أحضر ورشة عمل عن ريادة الأعمال الجمعة,ammani,neutral,high
404,الحديقة قرب بيتنا فيها أطفال كل يوم بعد الدوام,ammani,neutral,high
405,ما عارف وين أبيع سيارتي القديمة بسعر منيح,ammani,neutral,medium
406,اليوم عندي اجتماع أونلاين مع ناس من بره,ammani,neutral,medium
407,"بفكر أنقل بيتي لحي ثاني، بس التكاليف كتيرة",ammani,neutral,medium
408,"الطقس بدأ يبرد، وقت إخراج الجواكيت",ammani,neutral,high
409,صاحبي بدو يفتح مشروع وبيسألني بأفكاري,ammani,neutral,medium
410,"بفكر أشترك بنادي كتاب، في أحد مهتم",ammani,neutral,medium
411,لسا ما قررت شو التخصص الأنسب للماستر,ammani,neutral,medium
412,الزحمة على وسط البلد تبدأ بدري هالأيام,ammani,neutral,high
413,ما عارف إذا أجدد الإيجار أو أدور على شقة ثانية,ammani,neutral,high
414,"بدي أتعلم مهارة جديدة هالصيف، بس ما قررت شو",ammani,neutral,medium
415,هاد الشهر في مصاريف زيادة عن المعتاد,ammani,neutral,high
416,بعمان كل يوم يفتح مطعم جديد,ammani,neutral,high
417,شو أفضل تطبيق للتسوق الأونلاين بالأردن,ammani,neutral,medium
418,بفكر أرجع للمدرسة أعلم بدوام جزئي,ammani,neutral,medium
419,الحي تغير كتير من لما أنا صغير,ammani,neutral,high
420,بدي أروح عيّن عيني قبل نهاية السنة,ammani,neutral,medium
421,ما عارف كيف الناس بتوفر وسط هالمصاريف,ammani,neutral,high
422,اليوم بدي أخلص شغل البيت اللي متأخر,ammani,neutral,high
423,صاحبي قالي في ديرة جديدة بالمدينة اللي ما جربناها,ammani,neutral,high
424,هاي الفترة بقرأ عن الاستثمار بالذهب,ammani,neutral,high
425,لازم أتواصل مع المعلم قبل الامتحان هالأسبوع,ammani,neutral,high
426,رح أزور الأهل هالعيد إذا الأحوال سمحت,ammani,neutral,high
427,ما عارف شو أهدي أبوي بعيد ميلاده,ammani,neutral,high
428,بعمان ما في حرارة كافية بالشتا وما في تبريد بالصيف 😅,ammani,neutral,high
429,"بدي أنظم وقتي أحسن، كل يوم حاسس ما خلصت شي",ammani,neutral,high
430,"الجامعة الجديدة اللي افتتحت بشمال عمان، مين يعرف عنها",ammani,neutral,low
431,"كل الأسعار ارتفعت بس الراتب نفسه، معادلة صعبة",ammani,neutral,medium
432,صاحبي بيسألني عن أفضل كورس أونلاين للبرمجة,ammani,neutral,high
433,بعمان ما بتعرف وين بدك تروح يوم الجمعة,ammani,neutral,high
434,رح أحتاج أشتري ثلاجة جديدة هالشهر,ammani,neutral,medium
435,ما عارف كيف أوازن بين الشغل والوقت الشخصي,ammani,neutral,high
436,سمعت إن المستشفى الجديد فيه تخصصات ما كانت موجودة,ammani,neutral,medium
437,الجو بدأ يصحى شوي بعد أيام الغيم,ammani,neutral,high
438,بفكر أزور فلسطين بعد ما ما زرت من سنين,ammani,neutral,high
439,لسا ما اتعلمت كيف أستخدم تطبيق الجامعة الجديد,ammani,neutral,medium
440,الحارة اللي بيتنا فيها بيوتها كتير قريبة من بعض,ammani,neutral,medium
441,"في رحلة عيلية مخططين لها الصيف، لسا التفاصيل مو ثابتة",ammani,neutral,high
442,مين بيعرف دكتور عظام كويس ما غالي بعمان,ammani,neutral,medium
443,شو أفضل حي تسكن فيه لو بدك تكون قريب من كل شي,ammani,neutral,medium
444,الحافلة رقم ٢٤ تعدل مسارها من الأسبوع الجاي,ammani,neutral,medium
445,بدي أشوف شو في بيوم الأرض هالسنة بعمان,ammani,neutral,medium
446,"بفكر أحضر معرض الكتاب، في أحد رح يجي",ammani,neutral,high
447,كل ما بفكر أطبخ بقول بكرا وبكرا ما بجي,ammani,neutral,high
448,الصيف رح يكون حار هالسنة على ما قالوا بالأخبار,ammani,neutral,high
449,"بدي أبدأ أتعلم عزف، ما عارف من وين أبدأ",ammani,neutral,high
450,ما عارف وين أشتري نباتات منزلية بعمان بسعر معقول,ammani,neutral,high
451,الحي اللي نسكن فيه ما في فيه سوبرماركت قريب,ammani,neutral,high
452,"اليوم خلصنا الاجتماع بساعة وطلعنا بنتيجة واضحة، نادر يصير هيك",ammani,positive,medium
453,"أمي عملت كباب باللوح وجلسنا كل العيلة نتغدى، ما في أحلى",ammani,positive,high
454,"حصلت على تخفيض على تأمين سيارتي لأني ما عندي حوادث، انبسطت",ammani,positive,high
455,"وصلتني رسالة إن المعاملة اتمت بنجاح، راحة بال",ammani,positive,medium
456,"أخيرا خلصت ترتيب غرفتي، صارت تشبه اللي بالصور",ammani,positive,high
457,"الطالب اللي كنت بساعده نجح، فرحان فيه كأنه ابني",ammani,positive,high
458,"صاحبي أجى يزورني بالمفاجأة ومعه منسف، يوم ما بنساه",ammani,positive,high
459,"حكيت مع أهلي بالفيديو، شوقني أشوفهم",ammani,positive,high
460,"المشروع اللي كنت خايف منه مشى تمام، الحمد لله",ammani,positive,high
461,"اليوم ما في دوام وأنا مرتاح بالبيت، نعمة",ammani,positive,high
462,"وصلت قبل الازدحام اليوم، حاسس يوم محظوظ",ammani,positive,high
463,"رفقاتي كلهم اجتمعنا بعد فترة، فرحة ما بتوصف",ammani,positive,medium
464,صاحبي وعدني يساعدني بالنقل ووفى بوعده,ammani,positive,high
465,"خلصت تسديد آخر قسط، أخيرا",ammani,positive,low
466,"العروسة لبست الفستان وكانت كالقمر، فرح ما بيوصف",ammani,positive,high
467,رجعت من الرحلة بذكريات جميلة وصور حلوة,ammani,positive,medium
468,الكورس اللي خذته اشتغل معي بالشغل من أول يوم,ammani,positive,high
469,"قدرت أصلح الجهاز بنفسي بعد ما شفت فيديو، وفرت مصاري",ammani,positive,medium
470,الأقساط خفت هالشهر بعد ما دفعت مبلغ إضافي,ammani,positive,high
471,"صحيت على صوت المطر الحلو، أحلى إيقاظ",ammani,positive,high
472,"الدكتور قالي صحتك ممتازة، استمر هيك",ammani,positive,high
473,"أخيرا عملوا دوار بدل الإشارة، الأزمة خفت شوي",ammani,positive,medium
474,خلصت حفظ السورة اللي كنت بذاكرها من أسبوع,ammani,positive,high
475,الخضار اليوم طازجة وأسعارها منيحة بالسوق,ammani,positive,high
476,"رحت مشيت ساعة وصورت غروب الشمس على عمان، جميلة",ammani,positive,high
477,"صاحبي دفع الحساب بدون ما أحس، ما شاء الله",ammani,positive,high
478,"أخوي وصله خبر منحة، الله يوفقه ويكملها",ammani,positive,high
479,"عيلتنا كلها بصحة وعافية، الحمد لله",ammani,positive,high
480,"رجعنا من الرحلة بأفضل مما توقعنا، ممتازة",ammani,positive,high
481,صاحبتي أوصتني على كتاب غير حياتي,ammani,positive,medium
482,"الباص وصل بالضبط على الوقت، نادر بعمان",ammani,positive,high
483,"لقيت دواي في أقرب صيدلية، ما اضطريت أدور",ammani,positive,medium
484,"المقهى الجديد فيه هدوء ما توقعته، رح أرجعله",ammani,positive,low
485,"وجدت كيس مصاري قديم بجيبة معطف، مفاجأة حلوة",ammani,positive,medium
486,"الحكومة أعلنت عطلة إضافية، يوم مبارك",ammani,positive,medium
487,"الولاد نامو بدري اليوم، قدرت أرتاح شوي",ammani,positive,medium
488,"وصل موسم العنب، ما في أحلى من عنب الأردن",ammani,positive,high
489,"صاحبي دخل الجامعة اللي بده ياها، مبروك عليه",ammani,positive,high
490,"اليوم شربت قهوة وقرأت بهدوء، أحلى صباح",ammani,positive,high
491,"وجدت سواقة تخفيض على الاشتراك السنوي، ما فوّت",ammani,positive,medium
492,"الاجتماع كان قصير ومفيد، كيف يكون هيك دايما",ammani,positive,high
493,"صاحبي أجى ومعه عرايس للأولاد، فرحوا كتير",ammani,positive,high
494,"خلصت مهمة كانت مركبة علي من أسبوع، ارتحت",ammani,positive,high
495,رحلة البحر الميت كانت راحة حقيقية,ammani,positive,medium
496,أخيرا وصلت شحنة الكتب من بره,ammani,positive,high
497,اليوم صحيت مبكر وخلصت شغلي كله قبل الظهر,ammani,positive,high
498,"طبخت لأول مرة مقلوبة وطلعت تمام، انبسطت من حالي",ammani,positive,low
499,"لقيت وظيفة بجانب بيتي، ما رح أضطر أروح بعيد",ammani,positive,high
500,"الطفل الصغير بدأ يحكي كلمات جديدة، ما شاء الله",ammani,positive,medium
501,أخيرا اشتريت الكتاب اللي من زمان بدي إياه,ammani,positive,low
502,"وصلت إيميل ترقية من الشركة، ما توقعت يصير هيك",ammani,positive,medium
503,صاحبي رجع من السفر وجاب معي هدية من بره,ammani,positive,low
504,"نجح أخوي الصغير بالبيبسي، فخور فيه",ammani,positive,high
505,"السوبرماركت كان فاضي الصبح بدري، خلصت بسرعة",ammani,positive,high
506,الصيانة خلصت بيوم واحد مش ثلاثة كما قالوا,ammani,positive,high
507,"أمي اتصلت فجأة وسألتني عن حالي، حاسس بدفا",ammani,positive,medium
508,مشيت نص ساعة على الرصيف وارتحت نفسيا,ammani,positive,medium
509,صاحبتي شاركتني فيديو حلو غير يومي,ammani,positive,high
510,خلصت مشروع التخرج وقدمته بوقته,ammani,positive,low
511,"الراتب طلع مع علاوة السنة، الحمد لله",ammani,positive,high
512,"اشتريت نبتة جديدة للبيت، البيت صار أحلى",ammani,positive,high
513,"رحلة اليوم على جرش كانت ممتازة، مناخ حلو",ammani,positive,high
514,وجدت مرجع قديم كنت دوور عليه من سنة,ammani,positive,high
515,الامتحان انتهى وحاسس كنت مستعد كتير,ammani,positive,low
516,أخيرا لقيت دكتور كويس ما بيأخر,ammani,positive,high
517,الولاد ناموا مبكر واليوم خلصت شغلي كامل,ammani,positive,low
518,صاحبي جاء يساعدني بالتصليح بدون ما أطلب,ammani,positive,medium
519,"صحيت الصبح وعندي شمس وبرد خفيف، أجمل مزيج",ammani,positive,medium
520,خلصت الفلوس الشهر هذا بحساب منيح,ammani,positive,high
521,وصلتني رسالة إنهم اختاروا تصميمي,ammani,positive,high
522,"أكلنا تبولة وحمص وخبز طازج، أحلى غدا",ammani,positive,medium
523,الولد الكبير بدأ يساعد بالبيت بدون ما نطلب منه,ammani,positive,high
524,المطر نزل على عمان وريحته تملي القلب,ammani,positive,high
525,"الجيران دعونا على غداء، ناس طيبين",ammani,positive,high
526,"بعد سنين رجعت أمارس رياضة المشي، بدأ بالأمل",ammani,positive,medium
527,خلصنا الشقة وصارت أحلى مما تخيلنا,ammani,positive,medium
528,وجدت وقت أقرأ بعد ما غبت عن القراءة سنة,ammani,positive,medium
529,"رحنا نقطف فراولة بالضفة، تجربة ما نسيتها",ammani,positive,medium
530,"أكلت منسف حقيقي بالكرك، فرق كبير",ammani,positive,high
531,"الشركة أعطتنا يوم عمل من البيت، استمتعت",ammani,positive,high
532,"صاحبي ربح جائزة بمسابقة، يستاهل والله",ammani,positive,high
533,"اليوم أخوي طبخ، أنا ارتحت من المطبخ",ammani,positive,medium
534,"وصلتني هدية من صديقة قديمة بالبريد، فرحت",ammani,positive,medium
535,"الجو بدأ يعتدل، وقت المشي الحلو رجع",ammani,positive,high
536,المدرب الجديد بالجيم كفو وبيشرح منيح,ammani,positive,high
537,"وجدت مقهى هادي وفيه كتب، مكاني الجديد",ammani,positive,high
538,"أخيرا اشتريت طاولة للشغل من البيت، ارتحت",ammani,positive,medium
539,الخبز الطازج من الفرن الصبح ما في زيه,ammani,positive,high
540,"خلصت من كل مشاكل الأوراق دفعة واحدة، الحمد لله",ammani,positive,high
541,صاحبتي حكتلي خبر سار ما توقعته,ammani,positive,high
542,"اليوم أول أيام الربيع، عمان بتتبهج",ammani,positive,medium
543,"رحنا على العقبة لأول مرة، البحر كان أحلى مما توقعنا",ammani,positive,high
544,"شفت فيلم قديم ما شفته من صغري، استمتعت",ammani,positive,high
545,وصل فصل الربيع وأمي بتزرع في الحديقة,ammani,positive,medium
546,خلصت المقالة اللي كنت عم أكتبها من أسبوعين,ammani,positive,high
547,"الطبيب قال إن التحسن واضح، استمر هيك",ammani,positive,high
548,"صاحبي جاب معه مناقيش من الفرن، صحينا عليها",ammani,positive,high
549,"أمي وأبوي بصحة وعافية، أغلى نعمة",ammani,positive,low
550,وصلتني فلوس الكاشباك من آخر شراء,ammani,positive,high
551,"بعد أسبوع ضغط خلصت كل شي، نفسي رجع",ammani,positive,high
552,"الجمعة كانت هادية بالبيت، ارتحنا كلنا",ammani,positive,high
553,لقيت حل سريع لمشكلة ما حلت من أسبوع,ammani,positive,low
554,وجدت وظيفة بنفس التخصص وراتب أحسن,ammani,positive,medium
555,صاحبي ساعدني في الشغل من دون ما يتكلم عنها,ammani,positive,high
556,"رحنا على البلد القديم، البيوت الحجرية حلوة",ammani,positive,high
557,الكتاب وصل من الموقع بوقته بدون تأخير,ammani,positive,high
558,رجعت رفقتي من الغربة والقعدة كانت أحلى قعدة,ammani,positive,medium
559,اليوم اشتريت شي بسيط بس ما توقعت يفرحني هيك,ammani,positive,high
560,وجدت مواد دراسية مجانية أون لاين ممتازة,ammani,positive,high
561,أخيرا حجزت موعد الطبيب اللي ما قدرت أوصل له,ammani,positive,high
562,الشركة وافقت على طلب الإجازة من أول مرة,ammani,positive,high
563,"طلعلي خطأ بالتقرير بعد ما سلمته للمدير، محرج",ammani,negative,high
564,الشارع مقطوع من الصبح وما في بديل واضح,ammani,negative,high
565,"الكاشير غلط بالحساب وأنا ما حسيت، اكتشفت بعدين",ammani,negative,high
566,تأخرت على الطيارة بسبب الزحمة على الطريق الجوي,ammani,negative,high
567,اشتريت جهاز جديد ووقف من أول أسبوع,ammani,negative,high
568,"ما في ماء ساخن من الصبح، مو كويس لأجل الولاد",ammani,negative,high
569,رحت اشتريت أغراض وانكسرت الكيس بالطريق,ammani,negative,high
570,الانترنت بطيء جدا منذ أسبوع وما في حل,ammani,negative,medium
571,"وقعت ووجعت ركبتي، مش ناقصة هاي",ammani,negative,high
572,الأكل كان مو منيح وما قدرت أرجعه,ammani,negative,medium
573,حكيت مع خدمة العملاء ثلاث مرات وما حلوا مشكلتي,ammani,negative,medium
574,"الجو حار وما في كهربا من ثلاث ساعات، ما طاق",ammani,negative,high
575,اكتشفت إن الدواء ما صالح لحالتي بعد أسبوعين,ammani,negative,low
576,"صاحبي وعد يجي ولا جاء، زعلت منه",ammani,negative,high
577,الأجار ارتفع والمالك ما بده يفاوض أبدا,ammani,negative,high
578,رحت اشتغل من المقهى وما في واي فاي يشتغل,ammani,negative,high
579,طلبت شي من المطعم وجاء ناقص نص الطلب,ammani,negative,medium
580,عندي صداع من الصبح وما نفع الدواء,ammani,negative,medium
581,"انقطع الكهربا ليلة الامتحان الكبير، أعصابي راحت",ammani,negative,high
582,الموعد اللي حجزته إلغي بدون إشعار,ammani,negative,medium
583,ما لقيت بارقينج ودرت نص ساعة عالفاضي,ammani,negative,high
584,رحت على الإدارة وقالوا الموظف مش موجود,ammani,negative,high
585,"كسرت كوباية المحبوبة عندي، ما عندها بديل",ammani,negative,medium
586,الحرارة ارتفعت والمكيف ما يبرد كفاية,ammani,negative,medium
587,جاء الفني بدأ الصيانة وطلع ما معه الأدوات,ammani,negative,medium
588,زميلي أخذ الفضل على شغلي قدام المدير,ammani,negative,high
589,حجزت في فندق وما كانت الغرفة كما بالصور,ammani,negative,medium
590,الولاد تشاجروا طول اليوم وما في راحة,ammani,negative,medium
591,طلعلي غرامة على موقف وأنا ما انتبهت للإشارة,ammani,negative,low
592,ما في ماي بالحنفية من الصبح وما في خبر,ammani,negative,medium
593,رجعت من رحلة طويلة ومتعبة ووجدت البيت فوضى,ammani,negative,low
594,زميلي غاب ونزلت عليّ شغلته كلها,ammani,negative,high
595,الصيدلية مسكرة وأنا محتاج الدواء هسا,ammani,negative,medium
596,"ضاعت مني محفظتي، والحمد الله ما فيها كتير",ammani,negative,medium
597,الكمبيوتر ما بده يشتغل الصبح وعندي اجتماع,ammani,negative,high
598,"طلعلي فاتورة على شي ما اشتريته، لازم أتصل",ammani,negative,high
599,دفعت كتير على صيانة السيارة وما اتصلح الموضوع,ammani,negative,high
600,ما قدرت أرد على رسائل مهمة من كثر ضغط الشغل,ammani,negative,medium
601,الرحلة تأخرت ثلاث ساعات بدون سبب,ammani,negative,high
602,تذكرة الحفلة كانت مزورة واكتشفنا عند الباب,ammani,negative,medium
603,ما في ماء ساخن بالفندق وأنا دفعت كتير,ammani,negative,high
604,"كسرت كوباية أمي المحبوبة بطريق الخطأ، زعلت",ammani,negative,medium
605,الموظف تعامل معي بشكل مو محترم,ammani,negative,high
606,رحت على المطعم وكان مسكر بدون إشعار على الموقع,ammani,negative,high
607,ضاع مني وقت كتير على مشكلة كانت حلها سهل,ammani,negative,medium
608,الطقس الحار والازدحام خلوني وصل متأخر ومتعب,ammani,negative,high
609,ما عندي حوصلة هاليوم على أي شي,ammani,negative,high
610,صاحبي مو بيرد على رسائلي من أمبارح,ammani,negative,medium
611,المعاملة رجعت علي ناقصة ورقة ما حدا قالي عنها,ammani,negative,high
612,ما قدرت أنام الليلة من كثر ما في على بالي,ammani,negative,medium
613,الموبايل ما معه شحن وما لقيت كيبل,ammani,negative,high
614,جاء الكهربائي ونظر وقال ما أقدر أصلح هسا,ammani,negative,high
615,"ما فضل معي مصاري آخر الشهر، يوم صعب",ammani,negative,medium
616,وقع الأكل على هدومي وأنا رايح على اجتماع,ammani,negative,high
617,ما قدرت أركز بالمحاضرة من كثر الضجيج,ammani,negative,high
618,حجزت مطعم وما لقيت طاولتنا محجوزة,ammani,negative,medium
619,الدواء خلص من البيت وما في وقت أروح الصيدلية,ammani,negative,high
620,تخيل الرسالة المهمة راحت على السبام,ammani,negative,high
621,خطيت غلط وقلت شي لصاحبي وزعل مني,ammani,negative,medium
622,الماء البارد خلص وأنا تعبان بالحر,ammani,negative,high
623,السيارة ما شغلت الصبح وعندي موعد مهم,ammani,negative,high
624,الطابور بالدائرة طوووول وما عندي صبر اليوم,ammani,negative,low
625,وجعت ظهري من الجلوس الطويل على الكمبيوتر,ammani,negative,high
626,اكتشفت إن الفستان اللي اشتريته فيه عيب بعد ما رحت البيت,ammani,negative,high
627,الأزمة على شارع الأردن كانت ما بتصدق اليوم,ammani,negative,high
628,ما في جواب على طلب تقدمت له من ثلاثة أسابيع,ammani,negative,low
629,"الدكتور قالي لازم أعمل تحاليل إضافية، ما توقعت",ammani,negative,high
630,بالليل سمعت صوت غريب من الشارع ما نمت,ammani,negative,medium
631,"رجعت البيت ولقيت الباب مفتوح، خفت شوي",ammani,negative,high
632,وقفت ساعة بالدور وبعدين قالوا النظام وقف,ammani,negative,high
633,دفعت كتير على حجز وبعدين الغوا البرنامج,ammani,negative,high
634,ما وجدت واي فاي بالمطار وعندي شغل أخلصه,ammani,negative,medium
635,صحيت متأخر وفاتتني محاضرة مهمة,ammani,negative,high
636,اكتشفت إن صاحبي حكى عني بطريقة مش تمام,ammani,negative,medium
637,الحساب غلط بالمطعم وأنا ما انتبهت بالوقت,ammani,negative,high
638,"رجعت من سفرة وما في أكل بالبيت، رحت أطلب توصيل",ammani,negative,high
639,ما قدرت أحضر فرح صاحبي لأسباب خارجة عن إرادتي,ammani,negative,low
640,اليوم بدي أخلص ورقة بحثية متأخرة,ammani,neutral,medium
641,سمعت إن في إضراب سواقين باص غدا,ammani,neutral,high
642,"بدي أغير مزود خدمة الانترنت، مين تجربتكم",ammani,neutral,high
643,الجامعة بدأت تطبيق نظام حضور إلكتروني جديد,ammani,neutral,high
644,في إعلان عن معرض وظائف نهاية الشهر بعمان,ammani,neutral,medium
645,بدي أشتري هدية لصاحبي عيد ميلاده الأسبوع الجاي,ammani,neutral,high
646,شو رأيكم بالسكن بالجبيهة قرب الجامعة,ammani,neutral,medium
647,الأجار بعمان ارتفع كتير هالسنة مقارنة بالسنة اللي قبلها,ammani,neutral,medium
648,بفكر أبيع سيارتي القديمة وآخذ واحدة ثانية,ammani,neutral,medium
649,سمعت إن في مطعم مكسيكي جديد بالتلاع العلي,ammani,neutral,low
650,"بدي أتعلم لغة ثالثة، مش عارف من وين أبدأ",ammani,neutral,high
651,"اليوم عندي تسليم مشروع وبكرا امتحان، أسبوع ضاغط",ammani,neutral,medium
652,الحي اللي نسكن فيه بدأ يتوسع بناياته بشكل ملحوظ,ammani,neutral,high
653,في ورشة عمل مجانية بجامعة الأردن الجمعة القادمة,ammani,neutral,medium
654,"بدي أسجل ابني بنادي رياضي، مين بيعرف نادي كويس",ammani,neutral,high
655,تغيرت ساعات الدوام بعد القرار الجديد,ammani,neutral,high
656,"بفكر أتقدم على منحة دراسية، شو المطلوب",ammani,neutral,low
657,الزحمة على دوار الداخلية مو طبيعية هالفترة,ammani,neutral,high
658,شو أفضل برنامج لتعلم اللغة الإنجليزية أونلاين,ammani,neutral,medium
659,"بدي أزور متحف الأردن قريبا، مين جربه",ammani,neutral,high
660,"الطقس هالأيام متقلب كتير، مش عارف شو البس",ammani,neutral,high
661,في تحديث جديد على نظام الخدمات الحكومية الإلكترونية,ammani,neutral,high
662,"بدي أسافر للعقبة الصيف، شو أحسن وقت",ammani,neutral,medium
663,صاحبتي بتسأل عن أفضل دكتور نساء بعمان,ammani,neutral,high
664,ما عارف إذا أشتري بيت أو أكمل بالإيجار,ammani,neutral,high
665,قرأت إن عمان جزء من مشروع تحديث الشبكة الكهربائية,ammani,neutral,high
666,الطلاب اليوم بيحكوا كتير عن موضوع الذكاء الاصطناعي بالجامعة,ammani,neutral,high
667,"بفكر أعمل دراسة جدوى لمشروع صغير، من وين أبدأ",ammani,neutral,low
668,"بعمان ما في محلات تأجير دراجات كافية، شو رأيكم",ammani,neutral,high
669,في برنامج حكومي جديد لدعم المشاريع الصغيرة,ammani,neutral,medium
